library,sample,location,date
ERR3562836,ERR3562836,Avedoere,2015-11-23
ERR3562837,ERR3562837,Avedoere,2015-12-02
ERR3562838,ERR3562838,Avedoere,2016-01-09
ERR3562839,ERR3562839,Avedoere,2016-01-11
ERR3562840,ERR3562840,Avedoere,2016-01-20
ERR3562841,ERR3562841,Avedoere,2016-01-22
ERR3562842,ERR3562842,Avedoere,2016-02-18
ERR3562843,ERR3562843,Avedoere,2015-12-01
ERR3562844,ERR3562844,Valby,2015-12-06
ERR3562845,ERR3562845,Valby,2015-12-07
ERR3562846,ERR3562846,Valby,2015-12-09
ERR3562847,ERR3562847,Valby,2015-12-12
ERR3562848,ERR3562848,Valby,2015-12-17
ERR3562849,ERR3562849,Valby,2015-12-21
ERR3562850,ERR3562850,Valby,2015-12-28
ERR3562851,ERR3562851,Valby,2015-12-29
ERR3562852,ERR3562852,Valby,2016-01-05
ERR3562853,ERR3562853,Valby,2016-01-09
ERR3562854,ERR3562854,Valby,2016-01-11
ERR3562855,ERR3562855,Valby,2016-01-20
ERR3562856,ERR3562856,Valby,2016-01-22
ERR3562857,ERR3562857,Valby,2016-01-28
ERR3562858,ERR3562858,Valby,2016-02-08
ERR3562859,ERR3562859,Valby,2016-02-12
ERR3562860,ERR3562860,Valby,2016-02-18
ERR3562861,ERR3562861,Amager,2015-11-20
ERR3562862,ERR3562862,Amager,2015-11-25
ERR3562863,ERR3562863,Amager,2015-12-01
ERR3562864,ERR3562864,Amager,2015-12-09
ERR3562865,ERR3562865,Amager,2015-12-15
ERR3562866,ERR3562866,Amager,2015-12-17
ERR3562867,ERR3562867,Amager,2015-12-21
ERR3562868,ERR3562868,Amager,2015-12-28
ERR3562869,ERR3562869,Amager,2015-12-29
ERR3562870,ERR3562870,Amager,2016-01-05
ERR3562871,ERR3562871,Amager,2016-01-11
ERR3562872,ERR3562872,Amager,2016-01-17
ERR3562873,ERR3562873,Amager,2016-01-28
ERR3562874,ERR3562874,Amager,2016-02-08
ERR3562875,ERR3562875,Amager,2016-02-12
ERR3562876,ERR3562876,Amager,2016-02-18
ERR3562877,ERR3562877,Amager,2016-05-16
ERR3562878,ERR3562878,Amager,2016-05-20
ERR3562879,ERR3562879,Valby,2016-05-20
ERR3562880,ERR3562880,Amager,2016-05-25
ERR3562881,ERR3562881,Valby,2016-05-25
ERR3562882,ERR3562882,Amager,2016-05-28
ERR3562883,ERR3562883,Valby,2016-05-28
ERR3562884,ERR3562884,Valby,2016-06-08
ERR3562885,ERR3562885,Valby,2016-06-08
ERR3562886,ERR3562886,Amager,2016-06-08
ERR3562887,ERR3562887,Amager,2016-06-08
ERR3562888,ERR3562888,Amager,2016-06-08
ERR3562889,ERR3562889,Avedoere,2016-06-12
ERR3562890,ERR3562890,Avedoere,2016-06-12
ERR3562891,ERR3562891,Avedoere,2016-06-12
ERR3562892,ERR3562892,Amager,2016-06-12
ERR3562893,ERR3562893,Amager,2016-06-12
ERR3562894,ERR3562894,Valby,2016-06-12
ERR3562895,ERR3562895,Valby,2016-06-12
ERR3562896,ERR3562896,Amager,2016-06-14
ERR3562897,ERR3562897,Amager,2016-06-14
ERR3562898,ERR3562898,Valby,2016-06-18
ERR3562899,ERR3562899,Avedoere,2016-06-18
ERR3562900,ERR3562900,Amager,2016-06-18
ERR3562901,ERR3562901,Amager,2016-06-27
ERR3562902,ERR3562902,Valby,2016-06-27
ERR3562903,ERR3562903,Valby,2016-07-02
ERR3562904,ERR3562904,Amager,2016-07-04
ERR3562905,ERR3562905,Avedoere,2016-07-04
ERR3562906,ERR3562906,Valby,2016-07-04
ERR3562907,ERR3562907,Amager,2016-07-02
ERR3562908,ERR3562908,Valby,2016-07-13
ERR3562909,ERR3562909,Amager,2016-07-13
ERR3562910,ERR3562910,Avedoere,2016-07-17
ERR3562911,ERR3562911,Amager,2016-07-17
ERR3562912,ERR3562912,Valby,2016-07-18
ERR3562913,ERR3562913,Amager,2016-07-20
ERR3562914,ERR3562914,Valby,2016-07-20
ERR3562915,ERR3562915,Amager,2016-07-22
ERR3562916,ERR3562916,Valby,2016-07-22
ERR3562917,ERR3562917,Avedoere,2016-08-08
ERR3562918,ERR3562918,Avedoere,2016-08-02
ERR3562919,ERR3562919,Valby,2016-08-02
ERR3562920,ERR3562920,Amager,2016-08-10
