sample	percent_gc	mean_seq_len	n_read_pairs	percent_duplicates	n_bases_approx	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	stage
1A	51.5	136.75124365577642	3910447	71.11941270165376	1069200000	pass/pass	warn/fail	warn/warn	fail/warn	warn/pass	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	ribo_initial
1C	51.5	135.99041018098131	2414227	65.9670095078155	656400000	pass/pass	warn/fail	warn/pass	fail/warn	warn/pass	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	ribo_initial
2A	51.5	136.78050495746933	3489482	68.34385523795663	954300000	pass/pass	warn/fail	warn/pass	fail/warn	warn/pass	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	ribo_initial
2C	51	137.62945690846857	2783656	69.58906768418473	766000000	pass/pass	warn/fail	warn/warn	fail/warn	warn/pass	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	ribo_initial
6A	51.5	137.53608104443185	3724130	75.83672415303403	1024100000	pass/pass	warn/fail	warn/pass	fail/warn	warn/pass	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	ribo_initial
6C	51	135.7960863042931	3007081	69.84557780252267	816400000	pass/pass	warn/fail	warn/warn	fail/warn	warn/pass	pass/pass	warn/warn	fail/fail	fail/warn	pass/pass	ribo_initial
SS1	51	136.47500906765998	4984748	64.34726643881876	1360300000	pass/pass	warn/fail	warn/warn	fail/warn	warn/pass	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	ribo_initial
SS2	50	136.18220473815117	3048362	57.36884524615661	830100000	pass/pass	warn/fail	warn/warn	fail/fail	warn/warn	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	ribo_initial
1A	52	130.88457029195476	522855	53.6722671779584	136800000	pass/pass	warn/fail	warn/pass	fail/warn	warn/warn	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	ribo_secondary
1C	51	130.53803565010548	364487	51.95283131410389	95000000	pass/pass	fail/fail	warn/pass	fail/warn	warn/warn	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	ribo_secondary
2A	51	131.40944459835464	498126	54.62744078695249	130800000	pass/pass	fail/fail	warn/pass	fail/warn	warn/warn	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	ribo_secondary
2C	51	133.09488399981325	406939	55.434787839904914	108200000	pass/pass	warn/fail	warn/pass	fail/warn	warn/warn	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	ribo_secondary
6A	51.5	132.6047124689108	496555	51.228388753494215	131600000	pass/pass	warn/fail	warn/pass	fail/warn	warn/warn	pass/pass	warn/warn	warn/fail	warn/warn	pass/pass	ribo_secondary
6C	51	130.40937472408305	441709	53.00244718657197	115100000	pass/pass	warn/fail	warn/warn	fail/warn	warn/warn	pass/pass	warn/warn	fail/fail	warn/warn	pass/pass	ribo_secondary
SS1	51	131.85058949359808	808745	45.528429335705326	213100000	pass/pass	warn/fail	warn/pass	fail/warn	warn/pass	pass/pass	warn/warn	warn/warn	warn/pass	pass/pass	ribo_secondary
SS2	50	134.13924738140605	726344	39.85374206117173	194800000	pass/pass	fail/fail	warn/warn	fail/fail	warn/warn	pass/pass	warn/warn	warn/warn	warn/pass	pass/pass	ribo_secondary
