mean_phred_score	n_sequences	sample	read_pair	stage
32	3348446	SS1	1	cleaned
33	3175962	SS1	1	cleaned
34	2960859	SS1	1	cleaned
35	2673857	SS1	1	cleaned
36	2300090	SS1	1	cleaned
37	1871873	SS1	1	cleaned
38	1357933	SS1	1	cleaned
39	803831	SS1	1	cleaned
40	328680	SS1	1	cleaned
41	47816	SS1	1	cleaned
42	131	SS1	1	cleaned
25	2506131	SS1	2	cleaned
26	3911520	SS1	2	cleaned
27	5130622	SS1	2	cleaned
28	5424773	SS1	2	cleaned
29	3854375	SS1	2	cleaned
30	3585264	SS1	2	cleaned
31	3572078	SS1	2	cleaned
32	3614203	SS1	2	cleaned
33	3549912	SS1	2	cleaned
34	3392462	SS1	2	cleaned
35	3094693	SS1	2	cleaned
36	2640916	SS1	2	cleaned
37	2119904	SS1	2	cleaned
38	1595675	SS1	2	cleaned
39	1102511	SS1	2	cleaned
40	659084	SS1	2	cleaned
41	269299	SS1	2	cleaned
42	34583	SS1	2	cleaned
43	139	SS1	2	cleaned
25	2213939	SS2	1	cleaned
26	2943781	SS2	1	cleaned
27	3374565	SS2	1	cleaned
28	3320631	SS2	1	cleaned
29	2934503	SS2	1	cleaned
30	2548323	SS2	1	cleaned
31	2281738	SS2	1	cleaned
32	2126682	SS2	1	cleaned
33	2026648	SS2	1	cleaned
34	1919629	SS2	1	cleaned
35	1768926	SS2	1	cleaned
36	1570244	SS2	1	cleaned
37	1313385	SS2	1	cleaned
38	982308	SS2	1	cleaned
39	602236	SS2	1	cleaned
40	259269	SS2	1	cleaned
41	40040	SS2	1	cleaned
42	106	SS2	1	cleaned
25	1885477	SS2	2	cleaned
26	2804774	SS2	2	cleaned
27	3357565	SS2	2	cleaned
28	3256219	SS2	2	cleaned
29	2456839	SS2	2	cleaned
30	2324003	SS2	2	cleaned
31	2319701	SS2	2	cleaned
32	2323165	SS2	2	cleaned
33	2258704	SS2	2	cleaned
34	2130672	SS2	2	cleaned
35	1921303	SS2	2	cleaned
36	1631654	SS2	2	cleaned
37	1305506	SS2	2	cleaned
38	978679	SS2	2	cleaned
39	676783	SS2	2	cleaned
40	405810	SS2	2	cleaned
41	168205	SS2	2	cleaned
42	21809	SS2	2	cleaned
43	85	SS2	2	cleaned
25	2304471	1A	1	dedup
26	2661074	1A	1	dedup
27	2651118	1A	1	dedup
28	2380555	1A	1	dedup
29	2057358	1A	1	dedup
30	1814617	1A	1	dedup
31	1660707	1A	1	dedup
32	1548732	1A	1	dedup
33	1414787	1A	1	dedup
34	1233660	1A	1	dedup
35	1012338	1A	1	dedup
36	790698	1A	1	dedup
37	590881	1A	1	dedup
38	409971	1A	1	dedup
39	234580	1A	1	dedup
40	83596	1A	1	dedup
41	7805	1A	1	dedup
42	16	1A	1	dedup
25	1538066	1A	2	dedup
26	2169585	1A	2	dedup
27	2488969	1A	2	dedup
28	2319232	1A	2	dedup
29	1837999	1A	2	dedup
30	1767950	1A	2	dedup
31	1752368	1A	2	dedup
32	1715846	1A	2	dedup
33	1617074	1A	2	dedup
34	1476085	1A	2	dedup
35	1271166	1A	2	dedup
36	1014247	1A	2	dedup
37	756331	1A	2	dedup
38	535039	1A	2	dedup
39	344692	1A	2	dedup
40	187425	1A	2	dedup
41	61019	1A	2	dedup
42	3857	1A	2	dedup
43	14	1A	2	dedup
25	1392050	1C	1	dedup
26	1628178	1C	1	dedup
27	1647058	1C	1	dedup
28	1494394	1C	1	dedup
29	1289966	1C	1	dedup
30	1131444	1C	1	dedup
31	1031631	1C	1	dedup
32	961011	1C	1	dedup
33	882854	1C	1	dedup
34	782520	1C	1	dedup
35	653288	1C	1	dedup
36	520411	1C	1	dedup
37	398593	1C	1	dedup
38	286838	1C	1	dedup
39	174974	1C	1	dedup
40	68075	1C	1	dedup
41	6923	1C	1	dedup
42	29	1C	1	dedup
25	835977	1C	2	dedup
26	1255632	1C	2	dedup
27	1549837	1C	2	dedup
28	1526298	1C	2	dedup
29	1139970	1C	2	dedup
30	1083654	1C	2	dedup
31	1077511	1C	2	dedup
32	1065733	1C	2	dedup
33	1018335	1C	2	dedup
34	946462	1C	2	dedup
35	832724	1C	2	dedup
36	679367	1C	2	dedup
37	519423	1C	2	dedup
38	374204	1C	2	dedup
39	249931	1C	2	dedup
40	142129	1C	2	dedup
41	49477	1C	2	dedup
42	3566	1C	2	dedup
43	7	1C	2	dedup
25	2053543	2A	1	dedup
26	2354836	2A	1	dedup
27	2351211	2A	1	dedup
28	2120408	2A	1	dedup
29	1839559	2A	1	dedup
30	1620857	2A	1	dedup
31	1484600	2A	1	dedup
32	1382482	2A	1	dedup
33	1264373	2A	1	dedup
34	1108584	2A	1	dedup
35	914045	2A	1	dedup
36	718748	2A	1	dedup
37	539692	2A	1	dedup
38	374764	2A	1	dedup
39	215403	2A	1	dedup
40	77386	2A	1	dedup
41	7192	2A	1	dedup
42	22	2A	1	dedup
25	1211854	2A	2	dedup
26	1792376	2A	2	dedup
27	2192079	2A	2	dedup
28	2168863	2A	2	dedup
29	1637963	2A	2	dedup
30	1555804	2A	2	dedup
31	1543692	2A	2	dedup
32	1528425	2A	2	dedup
33	1458225	2A	2	dedup
34	1352252	2A	2	dedup
35	1183690	2A	2	dedup
36	959638	2A	2	dedup
37	724604	2A	2	dedup
38	519233	2A	2	dedup
39	340519	2A	2	dedup
40	189452	2A	2	dedup
41	64736	2A	2	dedup
42	4295	2A	2	dedup
43	5	2A	2	dedup
25	1606578	2C	1	dedup
26	1846463	2C	1	dedup
27	1837142	2C	1	dedup
28	1654385	2C	1	dedup
29	1436891	2C	1	dedup
30	1274182	2C	1	dedup
31	1178747	2C	1	dedup
32	1107395	2C	1	dedup
33	1013888	2C	1	dedup
34	886198	2C	1	dedup
35	722580	2C	1	dedup
36	557671	2C	1	dedup
37	409199	2C	1	dedup
38	274870	2C	1	dedup
39	148669	2C	1	dedup
40	49514	2C	1	dedup
41	3812	2C	1	dedup
42	11	2C	1	dedup
25	1021618	2C	2	dedup
26	1495695	2C	2	dedup
27	1754296	2C	2	dedup
28	1609393	2C	2	dedup
29	1262411	2C	2	dedup
30	1218661	2C	2	dedup
31	1216660	2C	2	dedup
32	1204802	2C	2	dedup
33	1151857	2C	2	dedup
34	1062051	2C	2	dedup
35	916750	2C	2	dedup
36	735698	2C	2	dedup
37	550675	2C	2	dedup
38	386017	2C	2	dedup
39	247349	2C	2	dedup
40	131954	2C	2	dedup
41	40145	2C	2	dedup
42	2158	2C	2	dedup
43	5	2C	2	dedup
25	2192336	6A	1	dedup
26	2515580	6A	1	dedup
27	2522459	6A	1	dedup
28	2281667	6A	1	dedup
29	1980200	6A	1	dedup
30	1752575	6A	1	dedup
31	1604859	6A	1	dedup
32	1492293	6A	1	dedup
33	1368957	6A	1	dedup
34	1204220	6A	1	dedup
35	997994	6A	1	dedup
36	783872	6A	1	dedup
37	593517	6A	1	dedup
38	422440	6A	1	dedup
39	253750	6A	1	dedup
40	96231	6A	1	dedup
