sample	percent_gc	mean_seq_len	n_read_pairs	percent_duplicates	n_bases_approx	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	stage
ESC_7_20_20_unenriched	43.5	101	23482928	22.95267216389432	4600000000	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	pass/pass	pass/pass	pass/pass	fail/fail	raw_concat
ESC_7_27_20_unenriched	51	101	16101528	73.3379557711371	3200000000	pass/pass	pass/pass	fail/fail	warn/fail	pass/pass	pass/pass	fail/fail	pass/warn	fail/fail	raw_concat
HTP_01_03_2021_INF_unenriched	47	101	9626457	73.05252827564155	1944400000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	pass/pass	fail/fail	warn/warn	fail/fail	raw_concat
HTP_10_02_2020_INF_unenriched	55.5	151	4595209	24.44799971847994	1387600000	pass/fail	pass/pass	fail/fail	warn/warn	pass/pass	pass/pass	warn/pass	pass/pass	fail/fail	raw_concat
HTP_10_13_2020_INF_unenriched	55	151	2179170	30.162688074729836	658000000	pass/fail	pass/pass	fail/fail	warn/warn	pass/pass	pass/pass	warn/pass	pass/pass	fail/fail	raw_concat
HTP_10_20_2020_INF_unenriched	56.5	151	4350744	21.135055903012514	1313800000	pass/fail	pass/pass	fail/fail	warn/warn	pass/pass	pass/pass	pass/pass	pass/pass	fail/fail	raw_concat
HTP_10_27_2020_INF_unenriched	53	151	4215471	36.18837106714045	1273000000	pass/fail	pass/pass	fail/fail	fail/warn	pass/pass	pass/pass	warn/pass	pass/pass	fail/fail	raw_concat
HTP_11_17_2020_INF_unenriched	47.5	101	16394657	76.85750260331437	3200000000	pass/pass	pass/pass	fail/fail	warn/fail	pass/pass	pass/pass	fail/fail	warn/warn	fail/fail	raw_concat
HTP_11_24_2020_INF_unenriched	48.5	101	11045877	73.3524880272418	2200000000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	pass/pass	fail/fail	warn/warn	fail/fail	raw_concat
HTP_11_3_2020_INF_unenriched	48.5	101	11534523	73.8013082187068	2200000000	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	pass/pass	fail/fail	warn/warn	fail/fail	raw_concat
HTP_12_01_2020_INF_unenriched	47.5	101	11912829	75.0562013112124	2400000000	pass/pass	pass/pass	fail/fail	warn/fail	pass/pass	pass/pass	fail/fail	warn/warn	fail/fail	raw_concat
HTP_12_04_2020_INF_unenriched	50	101	10874604	73.60418056061084	2000000000	pass/pass	pass/pass	fail/warn	fail/fail	pass/pass	pass/pass	fail/fail	pass/warn	fail/fail	raw_concat
HTP_12_15_2020_INF_unenriched	49	101	11960233	75.44134158927909	2400000000	pass/pass	pass/pass	fail/fail	warn/fail	pass/pass	pass/pass	fail/fail	pass/pass	fail/fail	raw_concat
HTP_12_22_2020_INF_unenriched	50	101	8861526	69.2136864589205	1790000000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	pass/pass	fail/fail	pass/pass	fail/fail	raw_concat
HTP_12_29_2020_INF_unenriched	49	101	11504066	71.64323593574466	2200000000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	pass/pass	fail/fail	warn/warn	fail/fail	raw_concat
HTP_8_11_2020_INF_unenriched	54	151	3318348	39.040643366118715	1002000000	pass/fail	pass/pass	fail/fail	warn/fail	pass/pass	pass/pass	warn/pass	pass/pass	fail/fail	raw_concat
HTP_8_18_2020_INF_unenriched	55	151	2800039	33.637235898429516	845600000	pass/fail	pass/pass	fail/fail	fail/warn	pass/pass	pass/pass	warn/pass	pass/pass	fail/fail	raw_concat
