name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	sample
Bacteria	2	D	305980	193	306173	0.48118	SB_8_27_2020_INF_unenriched
Eukaryota	2759	D	126335	173	126508	0.19882	SB_8_27_2020_INF_unenriched
Archaea	2157	D	99	0	99	1.6e-4	SB_8_27_2020_INF_unenriched
Viruses	10239	D	203466	45	203511	0.31984	SB_8_27_2020_INF_unenriched
Bacteria	2	D	77770	149	77919	0.81366	JWPCP_9_29_2020_INF_unenriched
Eukaryota	2759	D	4646	25	4671	0.04878	JWPCP_9_29_2020_INF_unenriched
Archaea	2157	D	49	0	49	5.1e-4	JWPCP_9_29_2020_INF_unenriched
Viruses	10239	D	13121	1	13122	0.13703	JWPCP_9_29_2020_INF_unenriched
Bacteria	2	D	247301	220	247521	0.64545	SJ_9_09_2020_INF_unenriched
Eukaryota	2759	D	24654	86	24740	0.06451	SJ_9_09_2020_INF_unenriched
Archaea	2157	D	72	0	72	1.9e-4	SJ_9_09_2020_INF_unenriched
Viruses	10239	D	111075	75	111150	0.28984	SJ_9_09_2020_INF_unenriched
Viruses	10239	D	845816	69	845885	0.8759	PL_12_22_2020_INF_unenriched
Bacteria	2	D	93564	75	93639	0.09696	PL_12_22_2020_INF_unenriched
Eukaryota	2759	D	25700	99	25799	0.02671	PL_12_22_2020_INF_unenriched
Archaea	2157	D	402	0	402	4.2e-4	PL_12_22_2020_INF_unenriched
Bacteria	2	D	553541	284	553825	0.79689	NC_9_11_2020_INF_unenriched
Eukaryota	2759	D	9355	33	9388	0.01351	NC_9_11_2020_INF_unenriched
Archaea	2157	D	110	0	110	1.6e-4	NC_9_11_2020_INF_unenriched
Viruses	10239	D	131602	58	131660	0.18944	NC_9_11_2020_INF_unenriched
Bacteria	2	D	352750	150	352900	0.61071	OC_10_07_2020_INF_unenriched
Eukaryota	2759	D	35003	86	35089	0.06072	OC_10_07_2020_INF_unenriched
Archaea	2157	D	82	0	82	1.4e-4	OC_10_07_2020_INF_unenriched
Viruses	10239	D	189757	20	189777	0.32842	OC_10_07_2020_INF_unenriched
Bacteria	2	D	306530	254	306784	0.91176	OC_9_16_2020_INF_unenriched
Eukaryota	2759	D	3215	18	3233	0.00961	OC_9_16_2020_INF_unenriched
Archaea	2157	D	83	0	83	2.5e-4	OC_9_16_2020_INF_unenriched
Viruses	10239	D	26367	7	26374	0.07838	OC_9_16_2020_INF_unenriched
Viruses	10239	D	156088	28	156116	0.7035	HTP_9_15_2020_INF_unenriched
Bacteria	2	D	54018	148	54166	0.24409	HTP_9_15_2020_INF_unenriched
Eukaryota	2759	D	11373	141	11514	0.05188	HTP_9_15_2020_INF_unenriched
Archaea	2157	D	116	0	116	5.2e-4	HTP_9_15_2020_INF_unenriched
Viruses	10239	D	798512	58	798570	0.60291	HTP_12_04_2020_INF_unenriched
Bacteria	2	D	283459	154	283613	0.21412	HTP_12_04_2020_INF_unenriched
Eukaryota	2759	D	241884	299	242183	0.18284	HTP_12_04_2020_INF_unenriched
Archaea	2157	D	160	0	160	1.2e-4	HTP_12_04_2020_INF_unenriched
Bacteria	2	D	31057	11	31068	0.50175	PL_8_27_2020_INF_unenriched
Eukaryota	2759	D	21767	36	21803	0.35212	PL_8_27_2020_INF_unenriched
Archaea	2157	D	43	0	43	6.9e-4	PL_8_27_2020_INF_unenriched
Viruses	10239	D	9005	0	9005	0.14543	PL_8_27_2020_INF_unenriched
Viruses	10239	D	216368	29	216397	0.50011	SB_9_10_2020_INF_unenriched
Bacteria	2	D	192743	208	192951	0.44592	SB_9_10_2020_INF_unenriched
Eukaryota	2759	D	23173	106	23279	0.0538	SB_9_10_2020_INF_unenriched
Archaea	2157	D	73	0	73	1.7e-4	SB_9_10_2020_INF_unenriched
Bacteria	2	D	1106086	634	1106720	0.92609	OC_9_03_2020_INF_unenriched
Eukaryota	2759	D	24981	135	25116	0.02102	OC_9_03_2020_INF_unenriched
Archaea	2157	D	275	0	275	2.3e-4	OC_9_03_2020_INF_unenriched
Viruses	10239	D	62899	36	62935	0.05266	OC_9_03_2020_INF_unenriched
Bacteria	2	D	415885	346	416231	0.70868	HTP_8_25_2020_INF_unenriched
Eukaryota	2759	D	29364	131	29495	0.05022	HTP_8_25_2020_INF_unenriched
Archaea	2157	D	153	0	153	2.6e-4	HTP_8_25_2020_INF_unenriched
Viruses	10239	D	141397	54	141451	0.24084	HTP_8_25_2020_INF_unenriched
Viruses	10239	D	1317225	88	1317313	0.90932	HTP_12_29_2020_INF_unenriched
Bacteria	2	D	106831	59	106890	0.07378	HTP_12_29_2020_INF_unenriched
Eukaryota	2759	D	24119	139	24258	0.01674	HTP_12_29_2020_INF_unenriched
Archaea	2157	D	224	0	224	1.5e-4	HTP_12_29_2020_INF_unenriched
Bacteria	2	D	28312	32	28344	0.59722	JWPCP_8_18_2020_INF_unenriched
Eukaryota	2759	D	7792	24	7816	0.16469	JWPCP_8_18_2020_INF_unenriched
Archaea	2157	D	18	0	18	3.8e-4	JWPCP_8_18_2020_INF_unenriched
Viruses	10239	D	11281	0	11281	0.23769	JWPCP_8_18_2020_INF_unenriched
Bacteria	2	D	64056	40	64096	0.41874	NC_8_14_2020_INF_unenriched
Eukaryota	2759	D	50040	421	50461	0.32966	NC_8_14_2020_INF_unenriched
Archaea	2157	D	43	0	43	2.8e-4	NC_8_14_2020_INF_unenriched
Viruses	10239	D	38466	1	38467	0.2513	NC_8_14_2020_INF_unenriched
Viruses	10239	D	632700	126	632826	0.69458	PL_01_04_2021_INF_unenriched
Bacteria	2	D	260511	251	260762	0.28621	PL_01_04_2021_INF_unenriched
Eukaryota	2759	D	15442	48	15490	0.017	PL_01_04_2021_INF_unenriched
