library,sample,location,sample_alias,dataset,bioproject
SRR12204734,SRR12204734,Kashgar,ks4,Yang 2020,PRJNA645711
SRR12204735,SRR12204735,Mi-Dong,MD,Yang 2020,PRJNA645711
SRR12204847,SRR12204847,Hotan,ht8,Yang 2020,PRJNA645711
SRR12204848,SRR12204848,Hotan,ht3,Yang 2020,PRJNA645711
SRR12204849,SRR12204849,Kashgar,ks11,Yang 2020,PRJNA645711
SRR12204850,SRR12204850,Kashgar,ks8,Yang 2020,PRJNA645711
SRR12204851,SRR12204851,Kashgar,ks7,Yang 2020,PRJNA645711
