mean_phred_score	n_sequences	sample	read_pair	stage
15	87518	SRR12204847	2	raw_concat
16	76751	SRR12204847	2	raw_concat
17	93331	SRR12204847	2	raw_concat
18	161666	SRR12204847	2	raw_concat
19	319583	SRR12204847	2	raw_concat
20	617317	SRR12204847	2	raw_concat
21	1084285	SRR12204847	2	raw_concat
22	1824523	SRR12204847	2	raw_concat
23	3335928	SRR12204847	2	raw_concat
24	5508887	SRR12204847	2	raw_concat
25	5498438	SRR12204847	2	raw_concat
26	4134670	SRR12204847	2	raw_concat
27	3201079	SRR12204847	2	raw_concat
28	3059755	SRR12204847	2	raw_concat
29	3312850	SRR12204847	2	raw_concat
30	3751122	SRR12204847	2	raw_concat
31	4462484	SRR12204847	2	raw_concat
32	5911104	SRR12204847	2	raw_concat
33	9092218	SRR12204847	2	raw_concat
34	14849783	SRR12204847	2	raw_concat
35	37571090	SRR12204847	2	raw_concat
36	117225069	SRR12204847	2	raw_concat
37	5927256	SRR12204847	2	raw_concat
12	1	SRR12204848	1	raw_concat
13	8	SRR12204848	1	raw_concat
14	76	SRR12204848	1	raw_concat
15	261	SRR12204848	1	raw_concat
16	640	SRR12204848	1	raw_concat
17	1223	SRR12204848	1	raw_concat
18	2478	SRR12204848	1	raw_concat
19	4663	SRR12204848	1	raw_concat
20	9202	SRR12204848	1	raw_concat
21	18753	SRR12204848	1	raw_concat
22	36898	SRR12204848	1	raw_concat
23	75718	SRR12204848	1	raw_concat
24	174722	SRR12204848	1	raw_concat
25	400949	SRR12204848	1	raw_concat
26	679044	SRR12204848	1	raw_concat
27	947607	SRR12204848	1	raw_concat
28	1311777	SRR12204848	1	raw_concat
29	1801516	SRR12204848	1	raw_concat
30	2377333	SRR12204848	1	raw_concat
31	3080217	SRR12204848	1	raw_concat
32	3951225	SRR12204848	1	raw_concat
33	5278795	SRR12204848	1	raw_concat
34	8729263	SRR12204848	1	raw_concat
35	23114726	SRR12204848	1	raw_concat
36	137533958	SRR12204848	1	raw_concat
37	13112155	SRR12204848	1	raw_concat
11	351	SRR12204848	2	raw_concat
12	13361	SRR12204848	2	raw_concat
13	49789	SRR12204848	2	raw_concat
14	55699	SRR12204848	2	raw_concat
15	42403	SRR12204848	2	raw_concat
16	36853	SRR12204848	2	raw_concat
17	44913	SRR12204848	2	raw_concat
18	69971	SRR12204848	2	raw_concat
19	113899	SRR12204848	2	raw_concat
20	178506	SRR12204848	2	raw_concat
21	270423	SRR12204848	2	raw_concat
22	395986	SRR12204848	2	raw_concat
23	573605	SRR12204848	2	raw_concat
24	833689	SRR12204848	2	raw_concat
25	1111500	SRR12204848	2	raw_concat
26	1341017	SRR12204848	2	raw_concat
27	1589877	SRR12204848	2	raw_concat
28	1858811	SRR12204848	2	raw_concat
29	2217041	SRR12204848	2	raw_concat
30	2828602	SRR12204848	2	raw_concat
31	3946637	SRR12204848	2	raw_concat
32	6244485	SRR12204848	2	raw_concat
33	9322534	SRR12204848	2	raw_concat
34	14963283	SRR12204848	2	raw_concat
35	35676611	SRR12204848	2	raw_concat
36	113916033	SRR12204848	2	raw_concat
37	4947329	SRR12204848	2	raw_concat
12	2	SRR12204849	1	raw_concat
13	63	SRR12204849	1	raw_concat
