mean_phred_score	n_sequences	sample	read_pair	stage
39	717112	2A	1	raw_concat
40	245776	2A	1	raw_concat
41	12436	2A	1	raw_concat
0	6	2A	2	raw_concat
1	46	2A	2	raw_concat
2	140	2A	2	raw_concat
3	205	2A	2	raw_concat
4	332	2A	2	raw_concat
5	571	2A	2	raw_concat
6	806	2A	2	raw_concat
7	1234	2A	2	raw_concat
8	1983	2A	2	raw_concat
9	3202	2A	2	raw_concat
10	5181	2A	2	raw_concat
11	8281	2A	2	raw_concat
12	13069	2A	2	raw_concat
13	20446	2A	2	raw_concat
14	31244	2A	2	raw_concat
15	46862	2A	2	raw_concat
16	69857	2A	2	raw_concat
17	102261	2A	2	raw_concat
18	152021	2A	2	raw_concat
19	228681	2A	2	raw_concat
20	353119	2A	2	raw_concat
21	551595	2A	2	raw_concat
22	879859	2A	2	raw_concat
23	1419951	2A	2	raw_concat
24	2308397	2A	2	raw_concat
25	3744753	2A	2	raw_concat
26	5648644	2A	2	raw_concat
27	7302767	2A	2	raw_concat
28	7532565	2A	2	raw_concat
29	5295828	2A	2	raw_concat
30	4923251	2A	2	raw_concat
31	4820272	2A	2	raw_concat
32	4737450	2A	2	raw_concat
33	4493874	2A	2	raw_concat
34	4164080	2A	2	raw_concat
35	3669341	2A	2	raw_concat
36	2983895	2A	2	raw_concat
37	2247704	2A	2	raw_concat
38	1603831	2A	2	raw_concat
39	1037492	2A	2	raw_concat
40	558032	2A	2	raw_concat
41	163293	2A	2	raw_concat
42	4578	2A	2	raw_concat
5	5	2C	1	raw_concat
6	12	2C	1	raw_concat
7	36	2C	1	raw_concat
8	58	2C	1	raw_concat
9	95	2C	1	raw_concat
10	222	2C	1	raw_concat
11	522	2C	1	raw_concat
12	1357	2C	1	raw_concat
13	3195	2C	1	raw_concat
14	7090	2C	1	raw_concat
15	15469	2C	1	raw_concat
16	32589	2C	1	raw_concat
17	66024	2C	1	raw_concat
18	132213	2C	1	raw_concat
19	251212	2C	1	raw_concat
20	459726	2C	1	raw_concat
21	796882	2C	1	raw_concat
22	1305500	2C	1	raw_concat
23	2010600	2C	1	raw_concat
24	2891846	2C	1	raw_concat
25	3826195	2C	1	raw_concat
26	4586944	2C	1	raw_concat
27	4859857	2C	1	raw_concat
28	4468118	2C	1	raw_concat
29	3778377	2C	1	raw_concat
30	3232813	2C	1	raw_concat
31	2897664	2C	1	raw_concat
32	2687853	2C	1	raw_concat
33	2506952	2C	1	raw_concat
34	2276484	2C	1	raw_concat
35	1960344	2C	1	raw_concat
36	1580415	2C	1	raw_concat
37	1170768	2C	1	raw_concat
38	784423	2C	1	raw_concat
39	425646	2C	1	raw_concat
40	134736	2C	1	raw_concat
41	6004	2C	1	raw_concat
0	6	2C	2	raw_concat
1	40	2C	2	raw_concat
2	95	2C	2	raw_concat
3	142	2C	2	raw_concat
4	202	2C	2	raw_concat
5	326	2C	2	raw_concat
6	496	2C	2	raw_concat
7	734	2C	2	raw_concat
8	1118	2C	2	raw_concat
9	1889	2C	2	raw_concat
10	3213	2C	2	raw_concat
11	5066	2C	2	raw_concat
12	8572	2C	2	raw_concat
13	13565	2C	2	raw_concat
14	21128	2C	2	raw_concat
15	32960	2C	2	raw_concat
16	49755	2C	2	raw_concat
17	74254	2C	2	raw_concat
18	112415	2C	2	raw_concat
19	172400	2C	2	raw_concat
20	268509	2C	2	raw_concat
21	427074	2C	2	raw_concat
22	684760	2C	2	raw_concat
23	1109842	2C	2	raw_concat
24	1810175	2C	2	raw_concat
25	2906529	2C	2	raw_concat
26	4223693	2C	2	raw_concat
27	5122899	2C	2	raw_concat
28	4758858	2C	2	raw_concat
29	3576854	2C	2	raw_concat
30	3378254	2C	2	raw_concat
31	3314527	2C	2	raw_concat
32	3241139	2C	2	raw_concat
33	3061491	2C	2	raw_concat
34	2816737	2C	2	raw_concat
35	2444656	2C	2	raw_concat
36	1957968	2C	2	raw_concat
37	1459011	2C	2	raw_concat
38	1024240	2C	2	raw_concat
39	646675	2C	2	raw_concat
40	334531	2C	2	raw_concat
41	89206	2C	2	raw_concat
42	2242	2C	2	raw_concat
5	6	6A	1	raw_concat
6	16	6A	1	raw_concat
7	38	6A	1	raw_concat
8	84	6A	1	raw_concat
9	117	6A	1	raw_concat
10	207	6A	1	raw_concat
11	458	6A	1	raw_concat
12	1167	6A	1	raw_concat
13	2758	6A	1	raw_concat
14	6738	6A	1	raw_concat
15	15900	6A	1	raw_concat
16	36459	6A	1	raw_concat
17	80734	6A	1	raw_concat
18	169776	6A	1	raw_concat
19	333642	6A	1	raw_concat
20	619461	6A	1	raw_concat
21	1080807	6A	1	raw_concat
22	1776258	6A	1	raw_concat
23	2741625	6A	1	raw_concat
24	3967089	6A	1	raw_concat
25	5321018	6A	1	raw_concat
26	6506314	6A	1	raw_concat
27	7083220	6A	1	raw_concat
28	6624015	6A	1	raw_concat
29	5598753	6A	1	raw_concat
30	4747985	6A	1	raw_concat
31	4214741	6A	1	raw_concat
32	3904249	6A	1	raw_concat
33	3657183	6A	1	raw_concat
34	3351193	6A	1	raw_concat
35	2929190	6A	1	raw_concat
36	2396696	6A	1	raw_concat
37	1815093	6A	1	raw_concat
38	1248059	6A	1	raw_concat
39	709893	6A	1	raw_concat
40	239540	6A	1	raw_concat
41	11785	6A	1	raw_concat
0	10	6A	2	raw_concat
1	40	6A	2	raw_concat
2	116	6A	2	raw_concat
3	176	6A	2	raw_concat
4	306	6A	2	raw_concat
5	528	6A	2	raw_concat
6	761	6A	2	raw_concat
7	1213	6A	2	raw_concat
8	2013	6A	2	raw_concat
9	3099	6A	2	raw_concat
10	4901	6A	2	raw_concat
11	7931	6A	2	raw_concat
12	12814	6A	2	raw_concat
13	19965	6A	2	raw_concat
14	32052	6A	2	raw_concat
15	48828	6A	2	raw_concat
16	72638	6A	2	raw_concat
17	108820	6A	2	raw_concat
18	162409	6A	2	raw_concat
19	245608	6A	2	raw_concat
20	377062	6A	2	raw_concat
21	586884	6A	2	raw_concat
22	927729	6A	2	raw_concat
23	1476058	6A	2	raw_concat
24	2362166	6A	2	raw_concat
25	3770578	6A	2	raw_concat
26	5595154	6A	2	raw_concat
27	7206889	6A	2	raw_concat
28	7508495	6A	2	raw_concat
29	5280949	6A	2	raw_concat
30	4900896	6A	2	raw_concat
31	4790284	6A	2	raw_concat
32	4718352	6A	2	raw_concat
33	4475982	6A	2	raw_concat
34	4158653	6A	2	raw_concat
35	3671917	6A	2	raw_concat
36	2994162	6A	2	raw_concat
37	2261998	6A	2	raw_concat
38	1614374	6A	2	raw_concat
39	1049577	6A	2	raw_concat
40	566612	6A	2	raw_concat
41	168357	6A	2	raw_concat
42	4911	6A	2	raw_concat
5	4	6C	1	raw_concat
6	12	6C	1	raw_concat
7	33	6C	1	raw_concat
8	83	6C	1	raw_concat
9	101	6C	1	raw_concat
10	206	6C	1	raw_concat
11	459	6C	1	raw_concat
12	1254	6C	1	raw_concat
13	3141	6C	1	raw_concat
14	7443	6C	1	raw_concat
15	16793	6C	1	raw_concat
16	36789	6C	1	raw_concat
17	76884	6C	1	raw_concat
18	155855	6C	1	raw_concat
19	298350	6C	1	raw_concat
20	538290	6C	1	raw_concat
21	921984	6C	1	raw_concat
22	1488509	6C	1	raw_concat
23	2261521	6C	1	raw_concat
24	3207571	6C	1	raw_concat
25	4203148	6C	1	raw_concat
26	5009451	6C	1	raw_concat
27	5289623	6C	1	raw_concat
28	4846127	6C	1	raw_concat
29	4096262	6C	1	raw_concat
30	3488373	6C	1	raw_concat
31	3119692	6C	1	raw_concat
32	2885439	6C	1	raw_concat
33	2688434	6C	1	raw_concat
34	2441801	6C	1	raw_concat
35	2110730	6C	1	raw_concat
36	1704476	6C	1	raw_concat
37	1270424	6C	1	raw_concat
38	856219	6C	1	raw_concat
39	471481	6C	1	raw_concat
40	152135	6C	1	raw_concat
41	6618	6C	1	raw_concat
0	6	6C	2	raw_concat
1	33	6C	2	raw_concat
2	87	6C	2	raw_concat
3	154	6C	2	raw_concat
4	287	6C	2	raw_concat
5	404	6C	2	raw_concat
6	642	6C	2	raw_concat
7	1047	6C	2	raw_concat
8	1791	6C	2	raw_concat
9	2846	6C	2	raw_concat
10	4520	6C	2	raw_concat
11	7170	6C	2	raw_concat
12	11421	6C	2	raw_concat
13	17492	6C	2	raw_concat
14	27861	6C	2	raw_concat
15	41891	6C	2	raw_concat
16	63696	6C	2	raw_concat
17	96078	6C	2	raw_concat
18	146484	6C	2	raw_concat
19	227809	6C	2	raw_concat
20	357344	6C	2	raw_concat
21	567424	6C	2	raw_concat
22	905146	6C	2	raw_concat
23	1445654	6C	2	raw_concat
24	2291705	6C	2	raw_concat
25	3560437	6C	2	raw_concat
26	4916178	6C	2	raw_concat
27	5534192	6C	2	raw_concat
28	4904136	6C	2	raw_concat
29	3848423	6C	2	raw_concat
30	3651785	6C	2	raw_concat
31	3567446	6C	2	raw_concat
32	3439603	6C	2	raw_concat
33	3207123	6C	2	raw_concat
34	2902112	6C	2	raw_concat
35	2477842	6C	2	raw_concat
36	1956718	6C	2	raw_concat
37	1444438	6C	2	raw_concat
38	1003955	6C	2	raw_concat
39	623536	6C	2	raw_concat
40	315585	6C	2	raw_concat
41	81349	6C	2	raw_concat
42	1865	6C	2	raw_concat
5	6	SS1	1	raw_concat
6	25	SS1	1	raw_concat
7	35	SS1	1	raw_concat
8	79	SS1	1	raw_concat
9	111	SS1	1	raw_concat
10	247	SS1	1	raw_concat
11	635	SS1	1	raw_concat
12	1699	SS1	1	raw_concat
13	4437	SS1	1	raw_concat
14	9926	SS1	1	raw_concat
15	22328	SS1	1	raw_concat
16	48303	SS1	1	raw_concat
17	100581	SS1	1	raw_concat
18	200325	SS1	1	raw_concat
19	375785	SS1	1	raw_concat
20	668529	SS1	1	raw_concat
21	1122360	SS1	1	raw_concat
22	1785200	SS1	1	raw_concat
23	2662922	SS1	1	raw_concat
24	3719233	SS1	1	raw_concat
25	4825185	SS1	1	raw_concat
26	5686196	SS1	1	raw_concat
27	5977394	SS1	1	raw_concat
28	5470878	SS1	1	raw_concat
29	4624032	SS1	1	raw_concat
30	3947180	SS1	1	raw_concat
31	3523971	SS1	1	raw_concat
32	3259544	SS1	1	raw_concat
33	3024511	SS1	1	raw_concat
34	2736207	SS1	1	raw_concat
35	2358463	SS1	1	raw_concat
36	1895978	SS1	1	raw_concat
37	1407412	SS1	1	raw_concat
38	945032	SS1	1	raw_concat
39	517890	SS1	1	raw_concat
40	166136	SS1	1	raw_concat
41	7330	SS1	1	raw_concat
0	16	SS1	2	raw_concat
1	113	SS1	2	raw_concat
2	339	SS1	2	raw_concat
3	531	SS1	2	raw_concat
4	709	SS1	2	raw_concat
5	1150	SS1	2	raw_concat
6	1692	SS1	2	raw_concat
7	2301	SS1	2	raw_concat
8	3437	SS1	2	raw_concat
9	5230	SS1	2	raw_concat
10	7637	SS1	2	raw_concat
11	11344	SS1	2	raw_concat
12	16810	SS1	2	raw_concat
13	24829	SS1	2	raw_concat
14	37059	SS1	2	raw_concat
15	54927	SS1	2	raw_concat
16	79119	SS1	2	raw_concat
17	116663	SS1	2	raw_concat
18	172060	SS1	2	raw_concat
19	260471	SS1	2	raw_concat
20	399598	SS1	2	raw_concat
21	617062	SS1	2	raw_concat
22	958965	SS1	2	raw_concat
23	1495652	SS1	2	raw_concat
24	2331442	SS1	2	raw_concat
25	3605319	SS1	2	raw_concat
26	5124315	SS1	2	raw_concat
27	6235253	SS1	2	raw_concat
28	6100704	SS1	2	raw_concat
29	4445128	SS1	2	raw_concat
30	4147500	SS1	2	raw_concat
31	4034863	SS1	2	raw_concat
32	3933172	SS1	2	raw_concat
33	3697163	SS1	2	raw_concat
34	3403232	SS1	2	raw_concat
35	2965806	SS1	2	raw_concat
36	2390863	SS1	2	raw_concat
37	1789677	SS1	2	raw_concat
38	1262774	SS1	2	raw_concat
39	808132	SS1	2	raw_concat
40	428990	SS1	2	raw_concat
41	120804	SS1	2	raw_concat
42	3254	SS1	2	raw_concat
5	1	SS2	1	raw_concat
6	6	SS2	1	raw_concat
7	18	SS2	1	raw_concat
8	52	SS2	1	raw_concat
9	96	SS2	1	raw_concat
10	173	SS2	1	raw_concat
11	417	SS2	1	raw_concat
12	958	SS2	1	raw_concat
13	2358	SS2	1	raw_concat
14	5439	SS2	1	raw_concat
15	11908	SS2	1	raw_concat
16	26146	SS2	1	raw_concat
17	55601	SS2	1	raw_concat
18	112327	SS2	1	raw_concat
19	212823	SS2	1	raw_concat
20	382391	SS2	1	raw_concat
21	649610	SS2	1	raw_concat
22	1040022	SS2	1	raw_concat
23	1574398	SS2	1	raw_concat
24	2239734	SS2	1	raw_concat
25	2971568	SS2	1	raw_concat
26	3607479	SS2	1	raw_concat
27	3893601	SS2	1	raw_concat
28	3612688	SS2	1	raw_concat
29	3040975	SS2	1	raw_concat
30	2574405	SS2	1	raw_concat
31	2283222	SS2	1	raw_concat
32	2109573	SS2	1	raw_concat
33	1972964	SS2	1	raw_concat
34	1799594	SS2	1	raw_concat
35	1568951	SS2	1	raw_concat
36	1279083	SS2	1	raw_concat
37	961385	SS2	1	raw_concat
38	657612	SS2	1	raw_concat
39	370965	SS2	1	raw_concat
40	122175	SS2	1	raw_concat
41	5455	SS2	1	raw_concat
0	25	SS2	2	raw_concat
1	82	SS2	2	raw_concat
2	277	SS2	2	raw_concat
3	486	SS2	2	raw_concat
4	736	SS2	2	raw_concat
5	923	SS2	2	raw_concat
6	1304	SS2	2	raw_concat
7	1696	SS2	2	raw_concat
8	2486	SS2	2	raw_concat
9	3639	SS2	2	raw_concat
10	5278	SS2	2	raw_concat
11	7912	SS2	2	raw_concat
12	11545	SS2	2	raw_concat
13	17298	SS2	2	raw_concat
14	26024	SS2	2	raw_concat
15	38325	SS2	2	raw_concat
16	56133	SS2	2	raw_concat
17	82536	SS2	2	raw_concat
18	123431	SS2	2	raw_concat
19	188393	SS2	2	raw_concat
20	291217	SS2	2	raw_concat
21	453892	SS2	2	raw_concat
22	711089	SS2	2	raw_concat
23	1112670	SS2	2	raw_concat
24	1725043	SS2	2	raw_concat
25	2612383	SS2	2	raw_concat
26	3522302	SS2	2	raw_concat
27	3939733	SS2	2	raw_concat
28	3602085	SS2	2	raw_concat
29	2798663	SS2	2	raw_concat
30	2637411	SS2	2	raw_concat
31	2564528	SS2	2	raw_concat
32	2469038	SS2	2	raw_concat
33	2298823	SS2	2	raw_concat
34	2080857	SS2	2	raw_concat
35	1782397	SS2	2	raw_concat
36	1418958	SS2	2	raw_concat
37	1049680	SS2	2	raw_concat
38	736050	SS2	2	raw_concat
39	463734	SS2	2	raw_concat
40	241224	SS2	2	raw_concat
41	64337	SS2	2	raw_concat
42	1530	SS2	2	raw_concat
25	4602534	1A	1	cleaned
26	6115008	1A	1	cleaned
27	6974951	1A	1	cleaned
28	6808594	1A	1	cleaned
29	5983752	1A	1	cleaned
30	5188642	1A	1	cleaned
31	4657178	1A	1	cleaned
32	4358881	1A	1	cleaned
33	4138997	1A	1	cleaned
34	3882312	1A	1	cleaned
35	3531659	1A	1	cleaned
36	3079502	1A	1	cleaned
37	2540888	1A	1	cleaned
38	1891000	1A	1	cleaned
39	1158064	1A	1	cleaned
40	489950	1A	1	cleaned
41	74183	1A	1	cleaned
42	206	1A	1	cleaned
25	3234236	1A	2	cleaned
26	5201443	1A	2	cleaned
27	6840611	1A	2	cleaned
28	6955415	1A	2	cleaned
29	5025610	1A	2	cleaned
30	4750516	1A	2	cleaned
31	4762425	1A	2	cleaned
32	4807421	1A	2	cleaned
33	4703729	1A	2	cleaned
34	4464452	1A	2	cleaned
35	4036335	1A	2	cleaned
36	3413037	1A	2	cleaned
37	2707520	1A	2	cleaned
38	2019254	1A	2	cleaned
39	1383169	1A	2	cleaned
40	812441	1A	2	cleaned
41	321299	1A	2	cleaned
42	37238	1A	2	cleaned
43	150	1A	2	cleaned
25	2778847	1C	1	cleaned
26	3701202	1C	1	cleaned
27	4256267	1C	1	cleaned
28	4194367	1C	1	cleaned
29	3691429	1C	1	cleaned
30	3190907	1C	1	cleaned
31	2852899	1C	1	cleaned
32	2657936	1C	1	cleaned
33	2520078	1C	1	cleaned
34	2371861	1C	1	cleaned
35	2166501	1C	1	cleaned
36	1904650	1C	1	cleaned
37	1585180	1C	1	cleaned
38	1191829	1C	1	cleaned
39	737085	1C	1	cleaned
40	319169	1C	1	cleaned
41	49433	1C	1	cleaned
42	159	1C	1	cleaned
25	1742452	1C	2	cleaned
26	2947985	1C	2	cleaned
27	4141183	1C	2	cleaned
28	4545365	1C	2	cleaned
29	3114401	1C	2	cleaned
30	2874107	1C	2	cleaned
31	2872742	1C	2	cleaned
32	2910354	1C	2	cleaned
33	2864305	1C	2	cleaned
34	2743359	1C	2	cleaned
35	2506448	1C	2	cleaned
36	2146694	1C	2	cleaned
37	1727463	1C	2	cleaned
38	1306496	1C	2	cleaned
39	913507	1C	2	cleaned
