library,sample,country,city,date,dataset,bioproject
ERR2683180,ERR2683180,Iran,Tehran,2017-06-11,Munk 2022,PRJEB27621
ERR2683181,ERR2683181,Morocco,Casablanca,2017-07-17,Munk 2022,PRJEB27621
ERR2683182,ERR2683182,Sri Lanka,Raddolugama,2017-07-11,Munk 2022,PRJEB27621
ERR2683183,ERR2683183,Sri Lanka,Rathmalana,2017-07-13,Munk 2022,PRJEB27621
ERR2683184,ERR2683184,Sri Lanka,Colombo,2017-07-25,Munk 2022,PRJEB27621
ERR2683185,ERR2683185,Sri Lanka,Colombo,2017-07-25,Munk 2022,PRJEB27621
ERR2683186,ERR2683186,Sri Lanka,Colombo,2017-07-25,Munk 2022,PRJEB27621
ERR2683187,ERR2683187,Iran,Shiraz,2017-06-15,Munk 2022,PRJEB27621
ERR2683188,ERR2683188,Brazil,Belem,2017-06-23,Munk 2022,PRJEB27621
ERR2683189,ERR2683189,USA,"Portland, OR",2017-01-01,Munk 2022,PRJEB27621
ERR2683190,ERR2683190,Greenland,Sisimiut,2017-06-16,Munk 2022,PRJEB27621
ERR2683191,ERR2683191,Malaysia,Sungai Petani,2017-06-12,Munk 2022,PRJEB27621
ERR2683193,ERR2683193,Malaysia,George Town,2017-06-08,Munk 2022,PRJEB27621
ERR2683194,ERR2683194,Malaysia,Ipoh,2017-08-12,Munk 2022,PRJEB27621
ERR2683195,ERR2683195,Malaysia,Butterworth,2017-06-08,Munk 2022,PRJEB27621
ERR2683196,ERR2683196,Japan,Anonymous,2017-06-12,Munk 2022,PRJEB27621
ERR2683197,ERR2683197,Denmark,Avedore,2017-06-15,Munk 2022,PRJEB27621
ERR2683198,ERR2683198,Netherlands,Amsterdam,2017-06-12,Munk 2022,PRJEB27621
ERR2683199,ERR2683199,Netherlands,Utrecht,2017-06-12,Munk 2022,PRJEB27621
ERR2683200,ERR2683200,Uruguay,Montevideo,2017-06-16,Munk 2022,PRJEB27621
ERR2683203,ERR2683203,Portugal,Lisbon,2017-06-06,Munk 2022,PRJEB27621
ERR2683209,ERR2683209,Germany,Dresden,2017-07-09,Munk 2022,PRJEB27621
ERR2683210,ERR2683210,Albania,Tirana,2017-06-05,Munk 2022,PRJEB27621
ERR2683211,ERR2683211,Ghana,Accra,2017-06-16,Munk 2022,PRJEB27621
ERR2683212,ERR2683212,Ghana,Kumasi,2017-06-16,Munk 2022,PRJEB27621
