sample	percent_gc	mean_seq_len	n_read_pairs	percent_duplicates	n_bases_approx	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	stage
5_13_A_S1	47	70.78265858056056	6101	11.973446975905588	869.7	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	ribo_initial
5_13_C_S2	45	70.90974990938746	2759	10.02174700978616	393.9	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	ribo_initial
5_19_A_S4	43.5	71.73071530843575	67048	16.051187209163587	9600000	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
5_19_F_S3	41	71.98813631296778	37678	30.130314772546313	5400000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/warn	pass/pass	pass/pass	ribo_initial
5_28_E	40	70.87330554988256	313376	10.596864084971351	44700000	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
5_28_I	44	70.43816181479163	290678	13.432379679755812	41100000	pass/pass	pass/pass	fail/fail	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
630-N	45	73.97309123580553	27195266	6.209786602717173	4000000000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
630-S1	45.5	72.86411731614744	17026062	10.845181796159004	2400000000	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
630-S2	41	72.06233618574747	26959269	15.374730971428392	3800000000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
630-SF1	42	72.29669292495981	33090752	10.570409360511206	4600000000	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
6_09_N1	44	69.69338544837926	152739	25.23133530175938	21300000	pass/pass	pass/pass	fail/fail	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
6_09_S1	44	68.83392964651243	116270	23.090651070783515	16000000	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
MR2	44	71.58459000983962	17051458	16.803386369921235	2400000000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
MR3	44	71.90191333072438	19977414	14.276140138712805	2800000000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
MR_1_7_1_MOS	47.5	71.07757173850752	488580	14.038782248189932	69900000	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
S68-1	41	72.53683327442295	26695916	16.471893635503804	3800000000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
S_3_6_30_COL	48	71.4235470788118	456150	14.044375923681542	65600000	pass/pass	pass/pass	fail/fail	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
S_3_6_30_MOS	48	72.24016412956713	714070	13.288671100320826	103800000	pass/pass	pass/pass	fail/fail	warn/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
5_13_A_S1	47	70.92985702270816	5945	11.757779646761982	849.2	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	remove_other
5_13_C_S2	45	71.10283960092096	2606	9.401381427475059	373.1	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	remove_other
5_19_A_S4	43	71.88963316424066	66433	16.016136558638024	9500000	pass/pass	pass/pass	fail/fail	warn/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	remove_other
5_19_F_S3	41	72.10044654866304	37174	30.294022704040458	5300000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/warn	pass/pass	pass/pass	remove_other
5_28_E	40	70.94027974629154	311854	10.653358496128064	44500000	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	remove_other
5_28_I	44	70.54196661765977	289075	13.454190096933424	40900000	pass/pass	pass/pass	fail/fail	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	remove_other
630-N	45	74.05585887552994	26953568	6.226757203246287	3800000000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	remove_other
630-S1	46	73.16708881676604	15915745	10.88306543709625	2200000000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	remove_other
630-S2	41	72.2977674334731	26362977	15.507090273516276	3800000000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	remove_other
630-SF1	42	72.4871920783539	32554345	10.694519814152372	4600000000	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	remove_other
6_09_N1	44	69.84606687771009	150364	25.06082007197051	21100000	pass/pass	pass/pass	fail/fail	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	remove_other
6_09_S1	44	69.06922439726206	114685	23.23407594715961	15900000	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	remove_other
MR2	44	71.82303748159413	16400343	17.09020243572612	2200000000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	remove_other
MR3	44.5	72.10635274408028	19387370	14.473148793357794	2700000000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	remove_other
MR_1_7_1_MOS	47.5	71.21028367330085	484360	14.175364909756908	69400000	pass/pass	pass/pass	fail/fail	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	remove_other
S68-1	41	72.72606864031115	26131758	16.722286294002032	3800000000	pass/pass	pass/pass	fail/fail	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	remove_other
