library,sample_accession,sample
SRR18340995,SAMN26732476,ESC_5_24_2021
SRR18340996,SAMN26732475,ESC_5_10_2021
SRR18340997,SAMN26732474,ESC_4_5_2021
SRR18340998,SAMN26732473,ESC_4_26_2021
SRR18340999,SAMN26732472,ESC_4_19_2021
SRR18341000,SAMN26732471,ESC_4_12_2021
SRR18341001,SAMN26732470,ESC_3_8_2021
SRR18341002,SAMN26732469,ESC_3_29_2021
SRR18341003,SAMN26732468,ESC_3_22_2021
SRR18341004,SAMN26732467,ESC_3_17_2021
SRR18341005,SAMN26732449,ESC_1_25_21
SRR18341006,SAMN26732466,ESC_3_1_21
SRR18341007,SAMN26732465,ESC_2_8_21
SRR18341008,SAMN26732626,PL_8_3_2021
SRR18341009,SAMN26732625,PL_7_5_2021
SRR18341010,SAMN26732624,PL_7_29_2021
SRR18341011,SAMN26732623,PL_7_25_2021
SRR18341012,SAMN26732622,PL_7_19_2021
SRR18341013,SAMN26732621,PL_7_12_2021
SRR18341014,SAMN26732509,HTP_2_23_21
SRR18341015,SAMN26732508,HTP_2_21_21
SRR18341016,SAMN26732507,HTP_2_2_21
SRR18341017,SAMN26732453,ESC_10_26_20
SRR18341018,SAMN26732506,HTP_2_18_21
SRR18341019,SAMN26732505,HTP_2_16_21
SRR18341020,SAMN26732504,HTP_2_15_21
SRR18341021,SAMN26732503,HTP_2_10_21
SRR18341022,SAMN26732502,HTP_1_7_21
SRR18341023,SAMN26732501,HTP_1_5_21
SRR18341024,SAMN26732500,HTP_1_31_21
SRR18341025,SAMN26732499,HTP_1_28_21
SRR18341026,SAMN26732498,HTP_1_26_21
SRR18341027,SAMN26732497,HTP_1_24_21
SRR18341028,SAMN26732452,ESC_10_19_20
SRR18341029,SAMN26732496,HTP_1_21_21
SRR18341030,SAMN26732495,HTP_1_19_21
SRR18341031,SAMN26732494,HTP_1_14_21
SRR18341032,SAMN26732493,HTP_1_12_21
SRR18341033,SAMN26732492,HTP_1_10_21
SRR18341034,SAMN26732491,ESC_9_7_20
SRR18341035,SAMN26732490,ESC_9_21_20
SRR18341036,SAMN26732489,ESC_9_14_20
SRR18341037,SAMN26732488,ESC_8_31_20
SRR18341038,SAMN26732487,ESC_8_3_20
SRR18341039,SAMN26732451,ESC_10_12_20
SRR18341040,SAMN26732486,ESC_8_24_20
SRR18341041,SAMN26732485,ESC_8_17_20
SRR18341042,SAMN26732595,PL_3_3_2021
SRR18341043,SAMN26732594,PL_3_29_2021
SRR18341044,SAMN26732593,PL_3_28_2021
SRR18341045,SAMN26732592,PL_3_24_2021
SRR18341046,SAMN26732591,PL_3_22_2021
SRR18341047,SAMN26732590,PL_3_21_2021
SRR18341048,SAMN26732589,PL_3_18_2021
SRR18341049,SAMN26732588,PL_3_15_2021
SRR18341050,SAMN26732587,PL_3_14_2021
SRR18341051,SAMN26732461,ESC_12_28_20
SRR18341052,SAMN26732586,PL_3_10_2021
SRR18341053,SAMN26732585,PL_3_1_21
SRR18341054,SAMN26732584,PL_2_8_21
SRR18341055,SAMN26732583,PL_2_7_21
SRR18341056,SAMN26732582,PL_2_3_21
SRR18341057,SAMN26732581,PL_2_28_21
SRR18341058,SAMN26732580,PL_2_22_21
SRR18341059,SAMN26732579,PL_2_21_21
