name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	sample
Bacteria	2	D	259856	325	260181	0.29591	HTP_3_2_21
Eukaryota	2759	D	108137	317	108454	0.12335	HTP_3_2_21
Archaea	2157	D	310	0	310	3.5e-4	HTP_3_2_21
Eukaryota	2759	D	1381003	1537	1382540	0.66321	ESC_3_8_2021
Bacteria	2	D	578040	953	578993	0.27774	ESC_3_8_2021
Archaea	2157	D	494	0	494	2.4e-4	ESC_3_8_2021
Viruses	10239	D	122566	30	122596	0.05881	ESC_3_8_2021
Bacteria	2	D	642209	413	642622	0.37753	PL_1_12_21
Eukaryota	2759	D	260043	409	260452	0.15301	PL_1_12_21
Archaea	2157	D	1134	0	1134	6.7e-4	PL_1_12_21
Viruses	10239	D	797847	114	797961	0.46879	PL_1_12_21
Bacteria	2	D	124243	54	124297	0.76224	SJ_9_30_2020
Eukaryota	2759	D	13030	25	13055	0.08006	SJ_9_30_2020
Archaea	2157	D	25	0	25	1.5e-4	SJ_9_30_2020
Viruses	10239	D	25684	5	25689	0.15754	SJ_9_30_2020
Eukaryota	2759	D	165427	138	165565	0.80957	JWPCP_10_13_2020
Bacteria	2	D	35507	18	35525	0.17371	JWPCP_10_13_2020
Archaea	2157	D	18	0	18	9e-5	JWPCP_10_13_2020
Viruses	10239	D	3400	0	3400	0.01663	JWPCP_10_13_2020
Viruses	10239	D	1112576	58	1112634	0.87182	ESC_9_21_20
Bacteria	2	D	103970	127	104097	0.08157	ESC_9_21_20
Eukaryota	2759	D	58898	310	59208	0.04639	ESC_9_21_20
Archaea	2157	D	276	0	276	2.2e-4	ESC_9_21_20
Viruses	10239	D	182042	7	182049	0.9369	PL_12_22_2020
Bacteria	2	D	9208	11	9219	0.04744	PL_12_22_2020
Eukaryota	2759	D	2953	16	2969	0.01528	PL_12_22_2020
Archaea	2157	D	72	0	72	3.7e-4	PL_12_22_2020
Bacteria	2	D	2448434	785	2449219	0.84162	PL_1_18_21
Eukaryota	2759	D	398058	1210	399268	0.1372	PL_1_18_21
Archaea	2157	D	3727	0	3727	0.00128	PL_1_18_21
Viruses	10239	D	57909	8	57917	0.0199	PL_1_18_21
Eukaryota	2759	D	168010	247	168257	0.42535	PL_5_12_2021
Bacteria	2	D	143767	77	143844	0.36363	PL_5_12_2021
Archaea	2157	D	514	0	514	0.0013	PL_5_12_2021
Viruses	10239	D	82959	1	82960	0.20972	PL_5_12_2021
Viruses	10239	D	1748773	129	1748902	0.59255	ESC_5_31_2021
Eukaryota	2759	D	837850	1042	838892	0.28423	ESC_5_31_2021
Bacteria	2	D	362131	451	362582	0.12285	ESC_5_31_2021
Archaea	2157	D	1118	0	1118	3.8e-4	ESC_5_31_2021
Bacteria	2	D	1862624	1184	1863808	0.94601	PL_3_21_2021
Eukaryota	2759	D	61051	345	61396	0.03116	PL_3_21_2021
Archaea	2157	D	575	0	575	2.9e-4	PL_3_21_2021
Viruses	10239	D	44379	21	44400	0.02254	PL_3_21_2021
Bacteria	2	D	10676188	6961	10683149	0.97223	HTP_1_28_21
Eukaryota	2759	D	87568	619	88187	0.00803	HTP_1_28_21
Archaea	2157	D	1976	2	1978	1.8e-4	HTP_1_28_21
Viruses	10239	D	214789	227	215016	0.01957	HTP_1_28_21
Bacteria	2	D	1384105	1415	1385520	0.83456	ESC_12_21_20
Eukaryota	2759	D	86719	865	87584	0.05276	ESC_12_21_20
Archaea	2157	D	3882	3	3885	0.00234	ESC_12_21_20
Viruses	10239	D	183012	178	183190	0.11034	ESC_12_21_20
Bacteria	2	D	3123560	1891	3125451	0.82951	ESC_1_18_21
Eukaryota	2759	D	556303	1112	557415	0.14794	ESC_1_18_21
Archaea	2157	D	706	0	706	1.9e-4	ESC_1_18_21
Viruses	10239	D	84217	25	84242	0.02236	ESC_1_18_21
Viruses	10239	D	395748	15	395763	0.56807	PL_4_14_2021
Bacteria	2	D	269029	342	269371	0.38665	PL_4_14_2021
Eukaryota	2759	D	29717	333	30050	0.04313	PL_4_14_2021
Archaea	2157	D	1494	1	1495	0.00215	PL_4_14_2021
Bacteria	2	D	18082103	12064	18094167	0.96731	HTP_5_18_2021
Eukaryota	2759	D	359848	1264	361112	0.01931	HTP_5_18_2021
Archaea	2157	D	2401	1	2402	1.3e-4	HTP_5_18_2021
Viruses	10239	D	247504	413	247917	0.01325	HTP_5_18_2021
Viruses	10239	D	192078	47	192125	0.79879	SB_11_5_2020
Eukaryota	2759	D	38356	43	38399	0.15965	SB_11_5_2020
Bacteria	2	D	9985	4	9989	0.04153	SB_11_5_2020
Archaea	2157	D	7	0	7	3e-5	SB_11_5_2020
Viruses	10239	D	3370657	177	3370834	0.93255	PL_7_5_2021
Bacteria	2	D	204331	588	204919	0.05669	PL_7_5_2021
Eukaryota	2759	D	36554	371	36925	0.01022	PL_7_5_2021
Archaea	2157	D	1969	2	1971	5.5e-4	PL_7_5_2021
Bacteria	2	D	2300923	2651	2303574	0.58339	ESC_5_10_2021
Eukaryota	2759	D	35955	298	36253	0.00918	ESC_5_10_2021
Archaea	2157	D	1266	1	1267	3.2e-4	ESC_5_10_2021
Viruses	10239	D	1607019	475	1607494	0.40711	ESC_5_10_2021
Bacteria	2	D	3062098	4321	3066419	0.79133	PL_7_19_2021
Eukaryota	2759	D	188282	502	188784	0.04872	PL_7_19_2021
Archaea	2157	D	2376	0	2376	6.1e-4	PL_7_19_2021
Viruses	10239	D	617241	208	617449	0.15934	PL_7_19_2021
Viruses	10239	D	622077	22	622099	0.74198	HTP_5_13_2021
Bacteria	2	D	187330	127	187457	0.22358	HTP_5_13_2021
