mean_phred_score	n_sequences	sample	read_pair	stage
25	154067	SRR18218721	2	dedup
26	231897	SRR18218721	2	dedup
27	311713	SRR18218721	2	dedup
28	393409	SRR18218721	2	dedup
29	464244	SRR18218721	2	dedup
30	521952	SRR18218721	2	dedup
31	561684	SRR18218721	2	dedup
32	588708	SRR18218721	2	dedup
33	607363	SRR18218721	2	dedup
34	622711	SRR18218721	2	dedup
35	648368	SRR18218721	2	dedup
36	698751	SRR18218721	2	dedup
37	801101	SRR18218721	2	dedup
38	1041882	SRR18218721	2	dedup
39	1872344	SRR18218721	2	dedup
40	8420387	SRR18218721	2	dedup
41	202463	SRR18218721	2	dedup
25	3158	SRR18218722	1	dedup
26	10279	SRR18218722	1	dedup
27	27404	SRR18218722	1	dedup
28	60414	SRR18218722	1	dedup
29	112573	SRR18218722	1	dedup
30	180952	SRR18218722	1	dedup
31	257599	SRR18218722	1	dedup
32	335367	SRR18218722	1	dedup
33	408276	SRR18218722	1	dedup
34	486051	SRR18218722	1	dedup
35	572508	SRR18218722	1	dedup
36	696530	SRR18218722	1	dedup
37	900833	SRR18218722	1	dedup
38	1297788	SRR18218722	1	dedup
39	2404925	SRR18218722	1	dedup
40	9293015	SRR18218722	1	dedup
41	192779	SRR18218722	1	dedup
25	128568	SRR18218722	2	dedup
26	197405	SRR18218722	2	dedup
27	269510	SRR18218722	2	dedup
28	348535	SRR18218722	2	dedup
29	425744	SRR18218722	2	dedup
30	494078	SRR18218722	2	dedup
31	553327	SRR18218722	2	dedup
32	602407	SRR18218722	2	dedup
33	644148	SRR18218722	2	dedup
34	688920	SRR18218722	2	dedup
35	741234	SRR18218722	2	dedup
36	826064	SRR18218722	2	dedup
37	971807	SRR18218722	2	dedup
38	1269151	SRR18218722	2	dedup
39	2134351	SRR18218722	2	dedup
40	6807960	SRR18218722	2	dedup
41	137242	SRR18218722	2	dedup
25	2365	SRR18218723	1	dedup
26	6542	SRR18218723	1	dedup
27	17333	SRR18218723	1	dedup
28	37565	SRR18218723	1	dedup
29	69167	SRR18218723	1	dedup
30	109303	SRR18218723	1	dedup
31	154571	SRR18218723	1	dedup
32	199529	SRR18218723	1	dedup
33	242371	SRR18218723	1	dedup
34	287340	SRR18218723	1	dedup
35	338483	SRR18218723	1	dedup
36	409662	SRR18218723	1	dedup
37	527869	SRR18218723	1	dedup
38	762591	SRR18218723	1	dedup
39	1418570	SRR18218723	1	dedup
40	7562795	SRR18218723	1	dedup
41	411275	SRR18218723	1	dedup
25	129184	SRR18218723	2	dedup
26	191348	SRR18218723	2	dedup
27	253268	SRR18218723	2	dedup
28	317294	SRR18218723	2	dedup
29	374615	SRR18218723	2	dedup
30	420993	SRR18218723	2	dedup
31	455205	SRR18218723	2	dedup
32	480377	SRR18218723	2	dedup
33	497216	SRR18218723	2	dedup
34	513589	SRR18218723	2	dedup
35	537582	SRR18218723	2	dedup
36	581977	SRR18218723	2	dedup
37	668807	SRR18218723	2	dedup
38	859583	SRR18218723	2	dedup
39	1436742	SRR18218723	2	dedup
40	4742798	SRR18218723	2	dedup
41	96753	SRR18218723	2	dedup
25	3513	SRR18218724	1	dedup
26	11453	SRR18218724	1	dedup
27	29379	SRR18218724	1	dedup
28	64445	SRR18218724	1	dedup
29	119371	SRR18218724	1	dedup
30	189063	SRR18218724	1	dedup
31	263270	SRR18218724	1	dedup
32	337436	SRR18218724	1	dedup
33	404160	SRR18218724	1	dedup
34	467272	SRR18218724	1	dedup
35	538305	SRR18218724	1	dedup
36	637766	SRR18218724	1	dedup
37	796675	SRR18218724	1	dedup
38	1105528	SRR18218724	1	dedup
39	1979448	SRR18218724	1	dedup
40	6228492	SRR18218724	1	dedup
41	54392	SRR18218724	1	dedup
25	96211	SRR18218724	2	dedup
26	145328	SRR18218724	2	dedup
27	196115	SRR18218724	2	dedup
28	252346	SRR18218724	2	dedup
29	305295	SRR18218724	2	dedup
30	353129	SRR18218724	2	dedup
31	392409	SRR18218724	2	dedup
32	426016	SRR18218724	2	dedup
33	451258	SRR18218724	2	dedup
34	475659	SRR18218724	2	dedup
35	509766	SRR18218724	2	dedup
36	562452	SRR18218724	2	dedup
37	654265	SRR18218724	2	dedup
38	845716	SRR18218724	2	dedup
39	1448652	SRR18218724	2	dedup
40	5982615	SRR18218724	2	dedup
41	132736	SRR18218724	2	dedup
25	1094	SRR18218730	1	dedup
26	2882	SRR18218730	1	dedup
27	6907	SRR18218730	1	dedup
28	14146	SRR18218730	1	dedup
29	24346	SRR18218730	1	dedup
30	36649	SRR18218730	1	dedup
31	49317	SRR18218730	1	dedup
32	61658	SRR18218730	1	dedup
33	74566	SRR18218730	1	dedup
34	88228	SRR18218730	1	dedup
35	103736	SRR18218730	1	dedup
36	123556	SRR18218730	1	dedup
37	150840	SRR18218730	1	dedup
38	203843	SRR18218730	1	dedup
39	403006	SRR18218730	1	dedup
40	2149691	SRR18218730	1	dedup
41	40474	SRR18218730	1	dedup
25	29227	SRR18218730	2	dedup
26	45915	SRR18218730	2	dedup
27	63163	SRR18218730	2	dedup
28	82516	SRR18218730	2	dedup
29	98016	SRR18218730	2	dedup
30	111054	SRR18218730	2	dedup
31	120251	SRR18218730	2	dedup
32	127019	SRR18218730	2	dedup
33	130975	SRR18218730	2	dedup
34	135007	SRR18218730	2	dedup
35	141502	SRR18218730	2	dedup
36	154579	SRR18218730	2	dedup
37	180395	SRR18218730	2	dedup
38	239792	SRR18218730	2	dedup
39	474951	SRR18218730	2	dedup
40	1394312	SRR18218730	2	dedup
41	6265	SRR18218730	2	dedup
25	3226	SRR18218731	1	dedup
26	6966	SRR18218731	1	dedup
27	13484	SRR18218731	1	dedup
28	23999	SRR18218731	1	dedup
29	37638	SRR18218731	1	dedup
30	54109	SRR18218731	1	dedup
31	70679	SRR18218731	1	dedup
32	87793	SRR18218731	1	dedup
33	104906	SRR18218731	1	dedup
34	122832	SRR18218731	1	dedup
35	141436	SRR18218731	1	dedup
36	160064	SRR18218731	1	dedup
37	184768	SRR18218731	1	dedup
38	227094	SRR18218731	1	dedup
39	397431	SRR18218731	1	dedup
40	855324	SRR18218731	1	dedup
41	16654	SRR18218731	1	dedup
25	43032	SRR18218731	2	dedup
26	66514	SRR18218731	2	dedup
27	89183	SRR18218731	2	dedup
28	112864	SRR18218731	2	dedup
29	133856	SRR18218731	2	dedup
30	150109	SRR18218731	2	dedup
31	159023	SRR18218731	2	dedup
32	165148	SRR18218731	2	dedup
33	163935	SRR18218731	2	dedup
34	161516	SRR18218731	2	dedup
35	157211	SRR18218731	2	dedup
36	153671	SRR18218731	2	dedup
37	155057	SRR18218731	2	dedup
38	173381	SRR18218731	2	dedup
39	277454	SRR18218731	2	dedup
40	343701	SRR18218731	2	dedup
41	2748	SRR18218731	2	dedup
25	1805	SRR18218732	1	dedup
26	6421	SRR18218732	1	dedup
27	17330	SRR18218732	1	dedup
28	39956	SRR18218732	1	dedup
29	75880	SRR18218732	1	dedup
30	123198	SRR18218732	1	dedup
31	176354	SRR18218732	1	dedup
32	231253	SRR18218732	1	dedup
33	284007	SRR18218732	1	dedup
34	336593	SRR18218732	1	dedup
35	400552	SRR18218732	1	dedup
36	487742	SRR18218732	1	dedup
37	630839	SRR18218732	1	dedup
38	906869	SRR18218732	1	dedup
39	1668638	SRR18218732	1	dedup
40	8366744	SRR18218732	1	dedup
41	453281	SRR18218732	1	dedup
25	150714	SRR18218732	2	dedup
26	225072	SRR18218732	2	dedup
27	299239	SRR18218732	2	dedup
28	377524	SRR18218732	2	dedup
29	445423	SRR18218732	2	dedup
30	501631	SRR18218732	2	dedup
31	542684	SRR18218732	2	dedup
32	568817	SRR18218732	2	dedup
33	586013	SRR18218732	2	dedup
34	600029	SRR18218732	2	dedup
35	622301	SRR18218732	2	dedup
36	665713	SRR18218732	2	dedup
37	759934	SRR18218732	2	dedup
38	962648	SRR18218732	2	dedup
39	1595753	SRR18218732	2	dedup
40	5184944	SRR18218732	2	dedup
41	119023	SRR18218732	2	dedup
25	2686	SRR18218733	1	dedup
26	9261	SRR18218733	1	dedup
27	25608	SRR18218733	1	dedup
28	57409	SRR18218733	1	dedup
29	107524	SRR18218733	1	dedup
30	170512	SRR18218733	1	dedup
31	239476	SRR18218733	1	dedup
32	306873	SRR18218733	1	dedup
33	370988	SRR18218733	1	dedup
34	430172	SRR18218733	1	dedup
35	502482	SRR18218733	1	dedup
36	607293	SRR18218733	1	dedup
37	775604	SRR18218733	1	dedup
38	1116159	SRR18218733	1	dedup
39	2125879	SRR18218733	1	dedup
40	13362485	SRR18218733	1	dedup
41	994478	SRR18218733	1	dedup
25	167651	SRR18218733	2	dedup
26	253688	SRR18218733	2	dedup
27	341232	SRR18218733	2	dedup
28	434142	SRR18218733	2	dedup
29	516241	SRR18218733	2	dedup
30	586020	SRR18218733	2	dedup
31	638378	SRR18218733	2	dedup
32	681198	SRR18218733	2	dedup
33	711402	SRR18218733	2	dedup
34	744368	SRR18218733	2	dedup
35	792491	SRR18218733	2	dedup
36	871997	SRR18218733	2	dedup
37	1025881	SRR18218733	2	dedup
38	1350498	SRR18218733	2	dedup
39	2383134	SRR18218733	2	dedup
40	9482114	SRR18218733	2	dedup
41	224454	SRR18218733	2	dedup
25	7618	SRR18218717	1	ribo_initial
26	15169	SRR18218717	1	ribo_initial
27	26119	SRR18218717	1	ribo_initial
28	42211	SRR18218717	1	ribo_initial
29	61793	SRR18218717	1	ribo_initial
30	82996	SRR18218717	1	ribo_initial
31	103271	SRR18218717	1	ribo_initial
32	121513	SRR18218717	1	ribo_initial
33	139222	SRR18218717	1	ribo_initial
34	155873	SRR18218717	1	ribo_initial
35	173901	SRR18218717	1	ribo_initial
36	191641	SRR18218717	1	ribo_initial
37	215847	SRR18218717	1	ribo_initial
38	261557	SRR18218717	1	ribo_initial
39	453883	SRR18218717	1	ribo_initial
40	887881	SRR18218717	1	ribo_initial
41	10232	SRR18218717	1	ribo_initial
25	53846	SRR18218717	2	ribo_initial
26	81648	SRR18218717	2	ribo_initial
27	109119	SRR18218717	2	ribo_initial
28	138199	SRR18218717	2	ribo_initial
29	163210	SRR18218717	2	ribo_initial
30	181752	SRR18218717	2	ribo_initial
31	194457	SRR18218717	2	ribo_initial
32	200848	SRR18218717	2	ribo_initial
33	199673	SRR18218717	2	ribo_initial
34	195340	SRR18218717	2	ribo_initial
35	188216	SRR18218717	2	ribo_initial
36	180139	SRR18218717	2	ribo_initial
37	177762	SRR18218717	2	ribo_initial
38	195823	SRR18218717	2	ribo_initial
39	318646	SRR18218717	2	ribo_initial
40	370153	SRR18218717	2	ribo_initial
41	1896	SRR18218717	2	ribo_initial
25	517	SRR18218718	1	ribo_initial
26	1516	SRR18218718	1	ribo_initial
27	3420	SRR18218718	1	ribo_initial
28	6649	SRR18218718	1	ribo_initial
29	11141	SRR18218718	1	ribo_initial
30	16196	SRR18218718	1	ribo_initial
31	20887	SRR18218718	1	ribo_initial
32	25335	SRR18218718	1	ribo_initial
33	29168	SRR18218718	1	ribo_initial
34	32937	SRR18218718	1	ribo_initial
35	37571	SRR18218718	1	ribo_initial
36	43849	SRR18218718	1	ribo_initial
37	56634	SRR18218718	1	ribo_initial
38	80939	SRR18218718	1	ribo_initial
39	177446	SRR18218718	1	ribo_initial
40	1156782	SRR18218718	1	ribo_initial
41	24046	SRR18218718	1	ribo_initial
25	13721	SRR18218718	2	ribo_initial
26	20384	SRR18218718	2	ribo_initial
27	26876	SRR18218718	2	ribo_initial
28	33617	SRR18218718	2	ribo_initial
29	38943	SRR18218718	2	ribo_initial
30	43236	SRR18218718	2	ribo_initial
31	46522	SRR18218718	2	ribo_initial
32	48992	SRR18218718	2	ribo_initial
33	52013	SRR18218718	2	ribo_initial
34	55693	SRR18218718	2	ribo_initial
35	61571	SRR18218718	2	ribo_initial
36	71534	SRR18218718	2	ribo_initial
37	87691	SRR18218718	2	ribo_initial
38	123636	SRR18218718	2	ribo_initial
39	240300	SRR18218718	2	ribo_initial
40	756507	SRR18218718	2	ribo_initial
41	3797	SRR18218718	2	ribo_initial
25	6980	SRR18218719	1	ribo_initial
26	13977	SRR18218719	1	ribo_initial
27	24846	SRR18218719	1	ribo_initial
28	40591	SRR18218719	1	ribo_initial
29	59593	SRR18218719	1	ribo_initial
30	80778	SRR18218719	1	ribo_initial
31	101779	SRR18218719	1	ribo_initial
32	120653	SRR18218719	1	ribo_initial
33	136867	SRR18218719	1	ribo_initial
34	154822	SRR18218719	1	ribo_initial
35	171414	SRR18218719	1	ribo_initial
36	186677	SRR18218719	1	ribo_initial
37	207130	SRR18218719	1	ribo_initial
38	248669	SRR18218719	1	ribo_initial
39	423110	SRR18218719	1	ribo_initial
40	908318	SRR18218719	1	ribo_initial
41	16952	SRR18218719	1	ribo_initial
24	1	SRR18218719	2	ribo_initial
25	54822	SRR18218719	2	ribo_initial
26	82712	SRR18218719	2	ribo_initial
27	109598	SRR18218719	2	ribo_initial
28	136668	SRR18218719	2	ribo_initial
29	158970	SRR18218719	2	ribo_initial
30	176744	SRR18218719	2	ribo_initial
31	188396	SRR18218719	2	ribo_initial
32	193128	SRR18218719	2	ribo_initial
33	191467	SRR18218719	2	ribo_initial
34	185848	SRR18218719	2	ribo_initial
35	177601	SRR18218719	2	ribo_initial
36	170714	SRR18218719	2	ribo_initial
37	168781	SRR18218719	2	ribo_initial
38	185348	SRR18218719	2	ribo_initial
39	315903	SRR18218719	2	ribo_initial
40	404720	SRR18218719	2	ribo_initial
41	1735	SRR18218719	2	ribo_initial
25	751	SRR18218720	1	ribo_initial
26	2066	SRR18218720	1	ribo_initial
27	4714	SRR18218720	1	ribo_initial
28	9352	SRR18218720	1	ribo_initial
29	16022	SRR18218720	1	ribo_initial
30	23764	SRR18218720	1	ribo_initial
31	32399	SRR18218720	1	ribo_initial
32	41305	SRR18218720	1	ribo_initial
33	49448	SRR18218720	1	ribo_initial
34	58669	SRR18218720	1	ribo_initial
35	69507	SRR18218720	1	ribo_initial
36	83473	SRR18218720	1	ribo_initial
37	104245	SRR18218720	1	ribo_initial
38	146941	SRR18218720	1	ribo_initial
39	317129	SRR18218720	1	ribo_initial
40	1829634	SRR18218720	1	ribo_initial
41	41311	SRR18218720	1	ribo_initial
24	1	SRR18218720	2	ribo_initial
25	23215	SRR18218720	2	ribo_initial
26	35448	SRR18218720	2	ribo_initial
27	47541	SRR18218720	2	ribo_initial
28	59516	SRR18218720	2	ribo_initial
29	70803	SRR18218720	2	ribo_initial
30	78580	SRR18218720	2	ribo_initial
31	84793	SRR18218720	2	ribo_initial
