position	pc_adapters	sample	adapter	read_pair	stage
92	0.4621670697028537	SRR5853122	polya	1	raw_concat
97	0.6758755188275476	SRR5853122	polya	1	raw_concat
102	0.8152846297711289	SRR5853122	polya	1	raw_concat
107	0.8800200128313561	SRR5853122	polya	1	raw_concat
112	0.9154508928343512	SRR5853122	polya	1	raw_concat
117	0.947750513509512	SRR5853122	polya	1	raw_concat
122	1.0033303665785716	SRR5853122	polya	1	raw_concat
127	1.0788209447213606	SRR5853122	polya	1	raw_concat
132	1.150227271566974	SRR5853122	polya	1	raw_concat
137	1.2056709829261276	SRR5853122	polya	1	raw_concat
142	1.2534226876756016	SRR5853122	polya	1	raw_concat
147	1.3094790367293314	SRR5853122	polya	1	raw_concat
152	1.3994687069770926	SRR5853122	polya	1	raw_concat
157	1.5553509648192805	SRR5853122	polya	1	raw_concat
162	1.7855325608425807	SRR5853122	polya	1	raw_concat
167	2.0884138299556008	SRR5853122	polya	1	raw_concat
172	2.5230122034025215	SRR5853122	polya	1	raw_concat
177	3.187860243727696	SRR5853122	polya	1	raw_concat
182	4.180333308941277	SRR5853122	polya	1	raw_concat
187	5.6045117362662795	SRR5853122	polya	1	raw_concat
192	7.601880797722349	SRR5853122	polya	1	raw_concat
197	10.209437002976397	SRR5853122	polya	1	raw_concat
202	13.374255262302531	SRR5853122	polya	1	raw_concat
207	17.11699508017896	SRR5853122	polya	1	raw_concat
212	21.187938525210892	SRR5853122	polya	1	raw_concat
217	25.46343488937635	SRR5853122	polya	1	raw_concat
222	29.73637859648108	SRR5853122	polya	1	raw_concat
227	33.880293998022545	SRR5853122	polya	1	raw_concat
232	37.79511693721995	SRR5853122	polya	1	raw_concat
237	41.436771535491296	SRR5853122	polya	1	raw_concat
240	43.549520696092564	SRR5853122	polya	1	raw_concat
1	0.512403360658109	SRR5853122	illumina_universal_adapter	2	raw_concat
2	0.5134244234824028	SRR5853122	illumina_universal_adapter	2	raw_concat
3	0.5144454863066966	SRR5853122	illumina_universal_adapter	2	raw_concat
4	0.5149560177188436	SRR5853122	illumina_universal_adapter	2	raw_concat
5	0.5159770805431374	SRR5853122	illumina_universal_adapter	2	raw_concat
6	0.5166577890926666	SRR5853122	illumina_universal_adapter	2	raw_concat
7	0.5202315089776949	SRR5853122	illumina_universal_adapter	2	raw_concat
8	0.5251666459617816	SRR5853122	illumina_universal_adapter	2	raw_concat
9	0.5363983370290135	SRR5853122	illumina_universal_adapter	2	raw_concat
12	0.5845244314807283	SRR5853122	illumina_universal_adapter	2	raw_concat
17	0.731659584461466	SRR5853122	illumina_universal_adapter	2	raw_concat
22	0.8648061767493784	SRR5853122	illumina_universal_adapter	2	raw_concat
27	1.016536112439438	SRR5853122	illumina_universal_adapter	2	raw_concat
32	1.2481471964167503	SRR5853122	illumina_universal_adapter	2	raw_concat
37	1.3238079516969214	SRR5853122	illumina_universal_adapter	2	raw_concat
42	1.3809874698573747	SRR5853122	illumina_universal_adapter	2	raw_concat
47	1.4612770432743443	SRR5853122	illumina_universal_adapter	2	raw_concat
52	1.5301307130592232	SRR5853122	illumina_universal_adapter	2	raw_concat
57	1.6106244990410516	SRR5853122	illumina_universal_adapter	2	raw_concat
62	1.6861150771838402	SRR5853122	illumina_universal_adapter	2	raw_concat
67	1.7433286307717704	SRR5853122	illumina_universal_adapter	2	raw_concat
72	1.802550274580811	SRR5853122	illumina_universal_adapter	2	raw_concat
77	1.8806956160667638	SRR5853122	illumina_universal_adapter	2	raw_concat
82	1.9759607775733763	SRR5853122	illumina_universal_adapter	2	raw_concat
87	2.0963100491301394	SRR5853122	illumina_universal_adapter	2	raw_concat
92	2.2741451576946448	SRR5853122	illumina_universal_adapter	2	raw_concat
97	2.5598045005045753	SRR5853122	illumina_universal_adapter	2	raw_concat
102	3.0050559627516287	SRR5853122	illumina_universal_adapter	2	raw_concat
107	3.719868010612246	SRR5853122	illumina_universal_adapter	2	raw_concat
112	4.824760092780575	SRR5853122	illumina_universal_adapter	2	raw_concat
117	6.4601283475970135	SRR5853122	illumina_universal_adapter	2	raw_concat
122	8.770589306409041	SRR5853122	illumina_universal_adapter	2	raw_concat
127	11.901065819411425	SRR5853122	illumina_universal_adapter	2	raw_concat
132	15.876505854944412	SRR5853122	illumina_universal_adapter	2	raw_concat
137	20.65746235256278	SRR5853122	illumina_universal_adapter	2	raw_concat
142	26.028661233477926	SRR5853122	illumina_universal_adapter	2	raw_concat
147	31.765979207757358	SRR5853122	illumina_universal_adapter	2	raw_concat
152	37.692738371370766	SRR5853122	illumina_universal_adapter	2	raw_concat
157	43.51647229601292	SRR5853122	illumina_universal_adapter	2	raw_concat
162	49.109003561807484	SRR5853122	illumina_universal_adapter	2	raw_concat
167	54.31574325715637	SRR5853122	illumina_universal_adapter	2	raw_concat
172	59.117461365535384	SRR5853122	illumina_universal_adapter	2	raw_concat
177	63.41511479298803	SRR5853122	illumina_universal_adapter	2	raw_concat
182	67.24484916349427	SRR5853122	illumina_universal_adapter	2	raw_concat
187	70.65754744113147	SRR5853122	illumina_universal_adapter	2	raw_concat
192	73.63653226643613	SRR5853122	illumina_universal_adapter	2	raw_concat
197	76.22809182077626	SRR5853122	illumina_universal_adapter	2	raw_concat
202	78.49794851460885	SRR5853122	illumina_universal_adapter	2	raw_concat
207	80.45518980707018	SRR5853122	illumina_universal_adapter	2	raw_concat
212	82.14412982473456	SRR5853122	illumina_universal_adapter	2	raw_concat
217	83.61013779242813	SRR5853122	illumina_universal_adapter	2	raw_concat
222	84.89300112487088	SRR5853122	illumina_universal_adapter	2	raw_concat
227	86.0209011560133	SRR5853122	illumina_universal_adapter	2	raw_concat
232	86.9811086359792	SRR5853122	illumina_universal_adapter	2	raw_concat
237	87.8246086351283	SRR5853122	illumina_universal_adapter	2	raw_concat
240	88.26492496039127	SRR5853122	illumina_universal_adapter	2	raw_concat
1	0.0013614170990584099	SRR5853122	polya	2	raw_concat
2	0.0017017713738230124	SRR5853122	polya	2	raw_concat
3	0.002212302785969916	SRR5853122	polya	2	raw_concat
4	0.003573719885028326	SRR5853122	polya	2	raw_concat
5	0.004935136984086736	SRR5853122	polya	2	raw_concat
6	0.007828148319585856	SRR5853122	polya	2	raw_concat
7	0.008679034006497364	SRR5853122	polya	2	raw_concat
8	0.00970009683079117	SRR5853122	polya	2	raw_concat
9	0.010380805380320376	SRR5853122	polya	2	raw_concat
12	0.014567162959924985	SRR5853122	polya	2	raw_concat
17	0.020897752470546593	SRR5853122	polya	2	raw_concat
22	0.026785881423974218	SRR5853122	polya	2	raw_concat
27	0.031959266400396175	SRR5853122	polya	2	raw_concat
32	0.03757511193401211	SRR5853122	polya	2	raw_concat
37	0.042646390628004696	SRR5853122	polya	2	raw_concat
42	0.04707099619994452	SRR5853122	polya	2	raw_concat
47	0.051801920619172506	SRR5853122	polya	2	raw_concat
52	0.05609038448120649	SRR5853122	polya	2	raw_concat
57	0.061059556892769686	SRR5853122	polya	2	raw_concat
62	0.06565433960209183	SRR5853122	polya	2	raw_concat
67	0.07045333487627273	SRR5853122	polya	2	raw_concat
72	0.30768026438720064	SRR5853122	polya	2	raw_concat
77	0.43997597098820157	SRR5853122	polya	2	raw_concat
82	0.4672043129693699	SRR5853122	polya	2	raw_concat
87	0.49606635546940814	SRR5853122	polya	2	raw_concat
92	0.5380320375478835	SRR5853122	polya	2	raw_concat
97	0.6610020370203346	SRR5853122	polya	2	raw_concat
102	0.8906390662040117	SRR5853122	polya	2	raw_concat
107	0.9892737350307936	SRR5853122	polya	2	raw_concat
112	1.0274614846593821	SRR5853122	polya	2	raw_concat
117	1.0548600037779323	SRR5853122	polya	2	raw_concat
122	1.0848111799572178	SRR5853122	polya	2	raw_concat
127	1.133720089240891	SRR5853122	polya	2	raw_concat
132	1.1911718908211557	SRR5853122	polya	2	raw_concat
137	1.2336481043117782	SRR5853122	polya	2	raw_concat
142	1.2647224495977865	SRR5853122	polya	2	raw_concat
147	1.2963753971508942	SRR5853122	polya	2	raw_concat
152	1.3403832048779574	SRR5853122	polya	2	raw_concat
157	1.4043698085337026	SRR5853122	polya	2	raw_concat
162	1.4925896365526878	SRR5853122	polya	2	raw_concat
167	1.6257702642680765	SRR5853122	polya	2	raw_concat
172	1.8284171994629208	SRR5853122	polya	2	raw_concat
177	2.1441638601620427	SRR5853122	polya	2	raw_concat
182	2.6138867947646705	SRR5853122	polya	2	raw_concat
187	3.3225043948245725	SRR5853122	polya	2	raw_concat
192	4.286762090660169	SRR5853122	polya	2	raw_concat
197	5.550327335723756	SRR5853122	polya	2	raw_concat
