mean_phred_score	n_sequences	sample	read_pair	stage
33	92724	SRR5853124	2	raw_concat
34	89990	SRR5853124	2	raw_concat
35	81555	SRR5853124	2	raw_concat
36	71380	SRR5853124	2	raw_concat
37	71417	SRR5853124	2	raw_concat
38	45565	SRR5853124	2	raw_concat
17	27	SRR5853125	1	raw_concat
18	100	SRR5853125	1	raw_concat
19	298	SRR5853125	1	raw_concat
20	570	SRR5853125	1	raw_concat
21	1042	SRR5853125	1	raw_concat
22	2297	SRR5853125	1	raw_concat
23	3606	SRR5853125	1	raw_concat
24	4360	SRR5853125	1	raw_concat
25	6540	SRR5853125	1	raw_concat
26	7025	SRR5853125	1	raw_concat
27	8158	SRR5853125	1	raw_concat
28	9943	SRR5853125	1	raw_concat
29	12428	SRR5853125	1	raw_concat
30	17472	SRR5853125	1	raw_concat
31	24849	SRR5853125	1	raw_concat
32	38685	SRR5853125	1	raw_concat
33	58515	SRR5853125	1	raw_concat
34	78547	SRR5853125	1	raw_concat
35	90430	SRR5853125	1	raw_concat
36	94919	SRR5853125	1	raw_concat
37	125084	SRR5853125	1	raw_concat
38	96187	SRR5853125	1	raw_concat
14	22	SRR5853125	2	raw_concat
15	221	SRR5853125	2	raw_concat
16	1452	SRR5853125	2	raw_concat
17	4338	SRR5853125	2	raw_concat
18	5322	SRR5853125	2	raw_concat
19	4733	SRR5853125	2	raw_concat
20	4375	SRR5853125	2	raw_concat
21	4738	SRR5853125	2	raw_concat
22	5581	SRR5853125	2	raw_concat
23	6104	SRR5853125	2	raw_concat
24	7074	SRR5853125	2	raw_concat
25	7789	SRR5853125	2	raw_concat
26	9485	SRR5853125	2	raw_concat
27	12698	SRR5853125	2	raw_concat
28	17608	SRR5853125	2	raw_concat
29	26296	SRR5853125	2	raw_concat
30	40816	SRR5853125	2	raw_concat
31	59052	SRR5853125	2	raw_concat
32	76408	SRR5853125	2	raw_concat
33	85396	SRR5853125	2	raw_concat
34	84220	SRR5853125	2	raw_concat
35	74565	SRR5853125	2	raw_concat
36	61915	SRR5853125	2	raw_concat
37	54053	SRR5853125	2	raw_concat
38	26821	SRR5853125	2	raw_concat
16	3	SRR5853127	1	raw_concat
17	38	SRR5853127	1	raw_concat
18	167	SRR5853127	1	raw_concat
19	478	SRR5853127	1	raw_concat
20	797	SRR5853127	1	raw_concat
21	1358	SRR5853127	1	raw_concat
22	3174	SRR5853127	1	raw_concat
23	4399	SRR5853127	1	raw_concat
24	5185	SRR5853127	1	raw_concat
25	7713	SRR5853127	1	raw_concat
26	7406	SRR5853127	1	raw_concat
27	8735	SRR5853127	1	raw_concat
28	10481	SRR5853127	1	raw_concat
29	12925	SRR5853127	1	raw_concat
30	18271	SRR5853127	1	raw_concat
31	24838	SRR5853127	1	raw_concat
32	36665	SRR5853127	1	raw_concat
33	49878	SRR5853127	1	raw_concat
34	58983	SRR5853127	1	raw_concat
35	58930	SRR5853127	1	raw_concat
36	55421	SRR5853127	1	raw_concat
37	66528	SRR5853127	1	raw_concat
38	43884	SRR5853127	1	raw_concat
14	50	SRR5853127	2	raw_concat
15	353	SRR5853127	2	raw_concat
16	2391	SRR5853127	2	raw_concat
17	7329	SRR5853127	2	raw_concat
18	8053	SRR5853127	2	raw_concat
19	6440	SRR5853127	2	raw_concat
20	5571	SRR5853127	2	raw_concat
21	6320	SRR5853127	2	raw_concat
22	7178	SRR5853127	2	raw_concat
23	7448	SRR5853127	2	raw_concat
24	8495	SRR5853127	2	raw_concat
25	9076	SRR5853127	2	raw_concat
26	10825	SRR5853127	2	raw_concat
27	13714	SRR5853127	2	raw_concat
28	18762	SRR5853127	2	raw_concat
29	27347	SRR5853127	2	raw_concat
30	39213	SRR5853127	2	raw_concat
31	50157	SRR5853127	2	raw_concat
32	54877	SRR5853127	2	raw_concat
33	52906	SRR5853127	2	raw_concat
34	44751	SRR5853127	2	raw_concat
35	35733	SRR5853127	2	raw_concat
36	27196	SRR5853127	2	raw_concat
37	22974	SRR5853127	2	raw_concat
38	9098	SRR5853127	2	raw_concat
16	1	SRR5853128	1	raw_concat
17	20	SRR5853128	1	raw_concat
18	153	SRR5853128	1	raw_concat
19	371	SRR5853128	1	raw_concat
20	733	SRR5853128	1	raw_concat
21	1289	SRR5853128	1	raw_concat
22	2896	SRR5853128	1	raw_concat
23	4710	SRR5853128	1	raw_concat
24	5498	SRR5853128	1	raw_concat
25	8241	SRR5853128	1	raw_concat
26	8213	SRR5853128	1	raw_concat
27	9354	SRR5853128	1	raw_concat
28	11697	SRR5853128	1	raw_concat
29	14538	SRR5853128	1	raw_concat
30	20606	SRR5853128	1	raw_concat
31	30090	SRR5853128	1	raw_concat
32	46815	SRR5853128	1	raw_concat
33	69588	SRR5853128	1	raw_concat
34	89495	SRR5853128	1	raw_concat
35	96543	SRR5853128	1	raw_concat
36	94123	SRR5853128	1	raw_concat
37	120627	SRR5853128	1	raw_concat
38	85771	SRR5853128	1	raw_concat
14	39	SRR5853128	2	raw_concat
15	299	SRR5853128	2	raw_concat
16	1971	SRR5853128	2	raw_concat
17	5806	SRR5853128	2	raw_concat
18	6686	SRR5853128	2	raw_concat
19	5841	SRR5853128	2	raw_concat
20	5560	SRR5853128	2	raw_concat
21	6234	SRR5853128	2	raw_concat
22	7607	SRR5853128	2	raw_concat
23	8071	SRR5853128	2	raw_concat
24	9278	SRR5853128	2	raw_concat
25	10172	SRR5853128	2	raw_concat
26	12487	SRR5853128	2	raw_concat
27	16548	SRR5853128	2	raw_concat
28	23189	SRR5853128	2	raw_concat
29	34974	SRR5853128	2	raw_concat
30	52997	SRR5853128	2	raw_concat
31	72961	SRR5853128	2	raw_concat
32	86792	SRR5853128	2	raw_concat
33	89252	SRR5853128	2	raw_concat
34	80215	SRR5853128	2	raw_concat
35	66484	SRR5853128	2	raw_concat
36	52361	SRR5853128	2	raw_concat
37	45959	SRR5853128	2	raw_concat
38	19589	SRR5853128	2	raw_concat
16	3	SRR5853129	1	raw_concat
17	48	SRR5853129	1	raw_concat
18	190	SRR5853129	1	raw_concat
19	489	SRR5853129	1	raw_concat
20	827	SRR5853129	1	raw_concat
21	1549	SRR5853129	1	raw_concat
22	3599	SRR5853129	1	raw_concat
23	6015	SRR5853129	1	raw_concat
24	6094	SRR5853129	1	raw_concat
25	9065	SRR5853129	1	raw_concat
26	8377	SRR5853129	1	raw_concat
27	9359	SRR5853129	1	raw_concat
28	11263	SRR5853129	1	raw_concat
29	13758	SRR5853129	1	raw_concat
30	19602	SRR5853129	1	raw_concat
31	28017	SRR5853129	1	raw_concat
32	42986	SRR5853129	1	raw_concat
33	61971	SRR5853129	1	raw_concat
34	78170	SRR5853129	1	raw_concat
35	81641	SRR5853129	1	raw_concat
36	77355	SRR5853129	1	raw_concat
37	93734	SRR5853129	1	raw_concat
38	71129	SRR5853129	1	raw_concat
13	1	SRR5853129	2	raw_concat
14	32	SRR5853129	2	raw_concat
15	399	SRR5853129	2	raw_concat
16	2399	SRR5853129	2	raw_concat
17	6910	SRR5853129	2	raw_concat
18	7589	SRR5853129	2	raw_concat
19	6276	SRR5853129	2	raw_concat
20	5945	SRR5853129	2	raw_concat
21	7010	SRR5853129	2	raw_concat
22	8678	SRR5853129	2	raw_concat
23	8226	SRR5853129	2	raw_concat
24	9221	SRR5853129	2	raw_concat
25	9406	SRR5853129	2	raw_concat
26	11601	SRR5853129	2	raw_concat
27	15050	SRR5853129	2	raw_concat
28	21357	SRR5853129	2	raw_concat
29	31349	SRR5853129	2	raw_concat
30	47351	SRR5853129	2	raw_concat
31	64284	SRR5853129	2	raw_concat
32	74619	SRR5853129	2	raw_concat
33	74584	SRR5853129	2	raw_concat
34	65531	SRR5853129	2	raw_concat
35	53535	SRR5853129	2	raw_concat
36	41236	SRR5853129	2	raw_concat
37	36016	SRR5853129	2	raw_concat
38	16636	SRR5853129	2	raw_concat
16	3	SRR5853130	1	raw_concat
17	27	SRR5853130	1	raw_concat
18	153	SRR5853130	1	raw_concat
19	405	SRR5853130	1	raw_concat
20	733	SRR5853130	1	raw_concat
21	1341	SRR5853130	1	raw_concat
22	3460	SRR5853130	1	raw_concat
23	4708	SRR5853130	1	raw_concat
24	5122	SRR5853130	1	raw_concat
25	7255	SRR5853130	1	raw_concat
26	7135	SRR5853130	1	raw_concat
27	8251	SRR5853130	1	raw_concat
28	10323	SRR5853130	1	raw_concat
29	12513	SRR5853130	1	raw_concat
30	17699	SRR5853130	1	raw_concat
31	24641	SRR5853130	1	raw_concat
32	36587	SRR5853130	1	raw_concat
33	54323	SRR5853130	1	raw_concat
34	72984	SRR5853130	1	raw_concat
35	86612	SRR5853130	1	raw_concat
36	98364	SRR5853130	1	raw_concat
37	146338	SRR5853130	1	raw_concat
38	128072	SRR5853130	1	raw_concat
13	1	SRR5853130	2	raw_concat
14	26	SRR5853130	2	raw_concat
15	246	SRR5853130	2	raw_concat
