library_id,sequencing_id,sequencing_replicate,n_total,n_unassigned,n_bacteria,n_archaea,n_eukaryota,n_viruses,n_other
D23-13404,230926EsvA_D23-13404-1,1,111497727,101892199,9174549,8531,257499,121612,43337
D23-13404,230926EsvA_D23-13404-2,2,111276519,101680751,9163975,8477,257803,122137,43376
D23-13405,230926EsvA_D23-13405-1,1,95646516,87540322,7774760,7033,179217,100680,44504
D23-13405,230926EsvA_D23-13405-2,2,95416452,87335797,7750366,6822,178301,100612,44554
D23-13406,230926EsvA_D23-13406-1,1,58110264,53845354,4077704,3323,106860,45598,31425
D23-13406,230926EsvA_D23-13406-2,2,58047059,53779359,4079353,3318,107844,45209,31976
