library_id,sequencing_id,sequencing_replicate,n_total,hv_old,hv_new
D23-13404,230926EsvA_D23-13404-1,1,115069046,22,23
D23-13404,230926EsvA_D23-13404-2,2,114841958,13,12
D23-13405,230926EsvA_D23-13405-1,1,98396157,14,8
D23-13405,230926EsvA_D23-13405-2,2,98159057,12,8
D23-13406,230926EsvA_D23-13406-1,1,59522621,14,12
D23-13406,230926EsvA_D23-13406-2,2,59462666,17,9
