mean_phred_score	n_sequences	sample	read_pair	stage
25	306297	SRR23083729	1	cleaned
26	879452	SRR23083729	1	cleaned
27	1501744	SRR23083729	1	cleaned
28	2304650	SRR23083729	1	cleaned
29	3294869	SRR23083729	1	cleaned
30	4523240	SRR23083729	1	cleaned
31	6166769	SRR23083729	1	cleaned
32	8727344	SRR23083729	1	cleaned
33	13411817	SRR23083729	1	cleaned
34	21979087	SRR23083729	1	cleaned
35	14002258	SRR23083729	1	cleaned
36	14	SRR23083729	1	cleaned
25	1257346	SRR23083729	2	cleaned
26	2654813	SRR23083729	2	cleaned
27	3649696	SRR23083729	2	cleaned
28	4791669	SRR23083729	2	cleaned
29	6032472	SRR23083729	2	cleaned
30	7322037	SRR23083729	2	cleaned
31	8794399	SRR23083729	2	cleaned
32	10892213	SRR23083729	2	cleaned
33	13809069	SRR23083729	2	cleaned
34	14337765	SRR23083729	2	cleaned
35	3556041	SRR23083729	2	cleaned
36	21	SRR23083729	2	cleaned
25	15724	SRR23083731	1	cleaned
26	61377	SRR23083731	1	cleaned
27	111893	SRR23083731	1	cleaned
28	171276	SRR23083731	1	cleaned
29	241746	SRR23083731	1	cleaned
30	325151	SRR23083731	1	cleaned
31	432847	SRR23083731	1	cleaned
32	598986	SRR23083731	1	cleaned
33	933286	SRR23083731	1	cleaned
34	2133044	SRR23083731	1	cleaned
35	21494050	SRR23083731	1	cleaned
36	48	SRR23083731	1	cleaned
25	29238	SRR23083731	2	cleaned
26	81892	SRR23083731	2	cleaned
27	129614	SRR23083731	2	cleaned
28	186165	SRR23083731	2	cleaned
29	253306	SRR23083731	2	cleaned
30	334860	SRR23083731	2	cleaned
31	443439	SRR23083731	2	cleaned
32	618171	SRR23083731	2	cleaned
33	1001660	SRR23083731	2	cleaned
34	2523154	SRR23083731	2	cleaned
35	20917693	SRR23083731	2	cleaned
36	236	SRR23083731	2	cleaned
25	18749	SRR23083733	1	cleaned
26	66872	SRR23083733	1	cleaned
27	117738	SRR23083733	1	cleaned
28	178564	SRR23083733	1	cleaned
29	249082	SRR23083733	1	cleaned
30	334586	SRR23083733	1	cleaned
31	451573	SRR23083733	1	cleaned
32	643859	SRR23083733	1	cleaned
33	1070918	SRR23083733	1	cleaned
34	2736314	SRR23083733	1	cleaned
35	15439695	SRR23083733	1	cleaned
36	13	SRR23083733	1	cleaned
25	44216	SRR23083733	2	cleaned
26	106301	SRR23083733	2	cleaned
27	159489	SRR23083733	2	cleaned
28	218598	SRR23083733	2	cleaned
29	288650	SRR23083733	2	cleaned
30	377092	SRR23083733	2	cleaned
31	498520	SRR23083733	2	cleaned
32	706337	SRR23083733	2	cleaned
33	1186552	SRR23083733	2	cleaned
34	3238634	SRR23083733	2	cleaned
35	14483543	SRR23083733	2	cleaned
36	31	SRR23083733	2	cleaned
25	15709	SRR23083734	1	cleaned
26	59920	SRR23083734	1	cleaned
27	107750	SRR23083734	1	cleaned
28	165113	SRR23083734	1	cleaned
29	232346	SRR23083734	1	cleaned
30	312462	SRR23083734	1	cleaned
31	412392	SRR23083734	1	cleaned
32	569921	SRR23083734	1	cleaned
33	895574	SRR23083734	1	cleaned
