country,gdp_per_capita_ppp
Uzbekistan,7717.744117
St. Vincent and the Grenadines,14784.71408
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,10686.80302
Vanuatu,3200.623455
World,17720.37801
Samoa,6615.408449
Kosovo,11798.48801
"Yemen, Rep.",
South Africa,14438.32771
Zambia,3515.384644
Zimbabwe,2296.845429
