taxid	name	parent_taxid	rank
573054	Ampullavirus	573053	genus
573055	Cervidpoxvirus	10241	genus
645516	Polemovirus	2169577	genus
674952	Trichomonasvirus	11006	genus
674970	Labyrnavirus	324901	genus
674976	Dinornavirus	866787	genus
674981	Victorivirus	11006	genus
675059	Cryspovirus	11012	genus
675062	Mycoflexivirus	675061	genus
675065	Botrexvirus	675064	genus
675066	Sclerodarnavirus	675064	genus
675070	Cilevirus	2560061	genus
675073	Torradovirus	675072	genus
675076	Lolavirus	675064	genus
675844	Brambyvirus	39729	genus
675845	Emaravirus	1980412	genus
680194	Bicaudavirus	423358	genus
686982	Sapelovirus	2946630	genus
687331	Alphatorquevirus	687329	genus
687332	Betatorquevirus	687329	genus
687333	Gammatorquevirus	687329	genus
687334	Deltatorquevirus	687329	genus
687335	Epsilontorquevirus	687329	genus
687336	Zetatorquevirus	687329	genus
687337	Etatorquevirus	687329	genus
687338	Thetatorquevirus	687329	genus
687339	Iotatorquevirus	687329	genus
689759	Tremovirus	2946633	genus
691955	Avihepatovirus	2946640	genus
691957	Ichtadenovirus	10508	genus
692605	Batrachovirus	548682	genus
692606	Cyprinivirus	548682	genus
692607	Salmonivirus	548682	genus
694018	Bafinivirus	2508210	genus
696855	Nebovirus	11974	genus
699166	Citrivirus	1914298	genus
699180	Dinovernavirus	2946187	genus
699181	Cardoreovirus	2946186	genus
699182	Mimoreovirus	2946186	genus
873551	Recovirus	11974	genus
934799	Taupapillomavirus	2169595	genus
934800	Chipapillomavirus	2169595	genus
934802	Phipapillomavirus	2169595	genus
934803	Dyozetapapillomavirus	2169595	genus
934804	Dyoiotapapillomavirus	2169595	genus
935635	Sigmapapillomavirus	2169595	genus
935641	Dyoetapapillomavirus	2169595	genus
935646	Dyoepsilonpapillomavirus	2169595	genus
935650	Psipapillomavirus	2169595	genus
936056	Dyodeltapapillomavirus	2169595	genus
936057	Rhopapillomavirus	2169595	genus
936058	Upsilonpapillomavirus	2169595	genus
936061	Omegapapillomavirus	2169595	genus
1052159	Dyothetapapillomavirus	2169595	genus
1159901	Deltacoronavirus	2501931	genus
1213379	Aparavirus	232795	genus
1218487	Kappatorquevirus	687329	genus
1218489	Lambdatorquevirus	687329	genus
1230390	Poacevirus	39729	genus
1232637	Scutavirus	10293	genus
1232640	Solendovirus	186534	genus
1232647	Dinodnavirus	10239	genus
1232658	Aquaparamyxovirus	2560076	genus
1232738	Clavavirus	1232737	genus
1232754	Tepovirus	1914298	genus
1283209	Alphacarmotetravirus	1283208	genus
1283211	Alphapermutotetravirus	1283210	genus
1283308	Ferlavirus	2560076	genus
1285588	Bidensovirus	1285587	genus
1285591	Glossinavirus	1285590	genus
1285593	Muscavirus	1285590	genus
1285597	Megabirnavirus	1285596	genus
1285599	Crocodylidpoxvirus	10241	genus
1298630	Becurtovirus	10811	genus
1298631	Turncurtovirus	10811	genus
1298632	Eragrovirus	10811	genus
1298634	Betaguttavirus	324686	genus
1298653	Perhabdovirus	2842407	genus
1299297	Quadrivirus	1299296	genus
1299306	Tibrovirus	2842407	genus
1299307	Betafusellovirus	10474	genus
1299308	Quaranjavirus	11308	genus
1299309	Alphanecrovirus	2560077	genus
1299310	Macanavirus	2560077	genus
1299311	Betanecrovirus	2560077	genus
1299312	Gallantivirus	2560077	genus
1299313	Zeavirus	2560077	genus
1307798	Negevirus	35278	genus
1307799	Pegivirus	11050	genus
1308858	Sigmavirus	2842407	genus
1312873	Alphamesonivirus	2501963	genus
1330065	Aquamavirus	2946640	genus
1330067	Dicipivirus	2946635	genus
1330069	Megrivirus	2946635	genus
1431456	Hunnivirus	2946627	genus
1481451	Mosavirus	2946627	genus
1506581	Crohivirus	2946640	genus
1511771	Avisivirus	2946640	genus
1511775	Gallivirus	2946635	genus
1511778	Mischivirus	2946627	genus
1511782	Pasivirus	2946640	genus
1511804	Rosavirus	2946635	genus
1511853	Alphanudivirus	1511852	genus
1511854	Betanudivirus	1511852	genus
1511856	Alphaspiravirus	1511855	genus
1511859	Alphaturrivirus	1511858	genus
1511861	Amalgavirus	1511860	genus
1511864	Aveparvovirus	40119	genus
1511888	Copiparvovirus	40119	genus
1511911	Tetraparvovirus	40119	genus
1513201	Hepandensovirus	40120	genus
1513223	Penstyldensovirus	40120	genus
1513230	Aurivirus	548685	genus
1513234	Cafeteriavirus	549779	genus
1513236	Cuevavirus	11266	genus
1513238	Dyokappapapillomavirus	2169595	genus
1513239	Dyolambdapapillomavirus	2169595	genus
1513240	Dyomupapillomavirus	2169595	genus
1513241	Dyonupapillomavirus	2169595	genus
1513242	Dyoomikronpapillomavirus	2169595	genus
1513243	Dyopipapillomavirus	2169595	genus
1513244	Dyorhopapillomavirus	2169595	genus
1513245	Dyosigmapapillomavirus	2169595	genus
1513246	Dyoxipapillomavirus	2169595	genus
1513277	Higrevirus	2560061	genus
1513295	Nyavirus	1513294	genus
1513299	Sprivivirus	2842407	genus
