taxid	name
675059	Cryspovirus
675062	Mycoflexivirus
675065	Botrexvirus
675066	Sclerodarnavirus
675070	Cilevirus
675073	Torradovirus
675076	Lolavirus
675844	Brambyvirus
675845	Emaravirus
680114	Bixzunavirus
680115	Phikzlikevirus
680116	Spbetalikevirus
680194	Bicaudavirus
680277	Kuravirus
680287	Ahjdlikevirus
686982	Sapelovirus
687331	Alphatorquevirus
687332	Betatorquevirus
687333	Gammatorquevirus
687334	Deltatorquevirus
687335	Epsilontorquevirus
687336	Zetatorquevirus
687337	Etatorquevirus
687338	Thetatorquevirus
687339	Iotatorquevirus
688449	Klassevirus
689759	Tremovirus
691955	Avihepatovirus
691957	Ichtadenovirus
692605	Batrachovirus
692606	Cyprinivirus
692607	Salmonivirus
693996	Alphacoronavirus
694002	Betacoronavirus
694013	Coronavirus
694018	Bafinivirus
696855	Nebovirus
699166	Citrivirus
699180	Dinovernavirus
699181	Cardoreovirus
699182	Mimoreovirus
742914	Cyclovirus
873551	Recovirus
934799	Taupapillomavirus
934800	Chipapillomavirus
934802	Phipapillomavirus
934803	Dyozetapapillomavirus
934804	Dyoiotapapillomavirus
935635	Sigmapapillomavirus
935641	Dyoetapapillomavirus
935646	Dyoepsilonpapillomavirus
935650	Psipapillomavirus
936056	Dyodeltapapillomavirus
936057	Rhopapillomavirus
936058	Upsilonpapillomavirus
936061	Omegapapillomavirus
993034	Mavirus
1052159	Dyothetapapillomavirus
1159901	Deltacoronavirus
1196844	Hp1likevirus
1198137	Schizot4likevirus
1198139	Bcepmulikevirus
1198140	FelixO1likevirus
1198976	Hap1likevirus
1198980	PB1likevirus
1213379	Aparavirus
1218487	Kappatorquevirus
1218489	Lambdatorquevirus
1230390	Poacevirus
1232637	Scutavirus
1232640	Solendovirus
1232647	Dinodnavirus
1232658	Aquaparamyxovirus
1232738	Clavavirus
1232754	Tepovirus
1283209	Alphacarmotetravirus
1283211	Alphapermutotetravirus
1283308	Ferlavirus
1285588	Bidensovirus
1285591	Glossinavirus
1285593	Muscavirus
1285597	Megabirnavirus
