task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	env	workdir	scratch	error_action
393	21/900481	b1bcee0c-70e3-48f2-9d89-c32c54864549	RUN:PROFILE:BBDUK	-	RUN:PROFILE:BBDUK (17)	COMPLETED	0	-	wave.seqera.io/wt/8cd9c1606c9d/staphb/bbtools:39.01	16	-	-	32 GB	1	2024-10-17 16:37:46.521	2024-10-17 16:38:06.208	2024-10-17 16:38:46.267	59.7s	36.7s	will-batch-queue	794.9%	4.2%	10.1 GB	42.3 GB	10.1 GB	42.5 GB	1 GB	781.9 MB	63218	25002	0	148 KB	11391	11457	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/21/900481fc15969999811c08e96f3b93	-	-
413	0a/f6ca39	a0f6e2da-ff55-4c9a-b5d6-d44b5b39f310	RUN:PROFILE:TAXONOMY_NORIBO:LABEL_BRACKEN_REPORTS	-	RUN:PROFILE:TAXONOMY_NORIBO:LABEL_BRACKEN_REPORTS (11)	COMPLETED	0	-	wave.seqera.io/wt/ae79b0c8498c/rocker/tidyverse:4.4.1	1	-	-	4 GB	1	2024-10-17 16:38:16.643	2024-10-17 16:38:46.310	2024-10-17 16:38:46.325	29.7s	2.8s	will-batch-queue	158.2%	0.1%	124.2 MB	4.5 GB	124.2 MB	4.5 GB	17.7 MB	2.1 KB	2261	23	0	0	46	135	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/0a/f6ca39224ecf820af0f00bc7dbf403	-	-
412	be/3b014d	843541c7-acc8-48d2-b36b-dd3d913f9464	RUN:PROFILE:TAXONOMY_NORIBO:LABEL_BRACKEN_REPORTS	-	RUN:PROFILE:TAXONOMY_NORIBO:LABEL_BRACKEN_REPORTS (10)	COMPLETED	0	-	wave.seqera.io/wt/ae79b0c8498c/rocker/tidyverse:4.4.1	1	-	-	4 GB	1	2024-10-17 16:38:16.554	2024-10-17 16:38:46.294	2024-10-17 16:38:46.309	29.8s	2.8s	will-batch-queue	155.1%	0.1%	124.1 MB	4.4 GB	124.1 MB	4.4 GB	17.7 MB	2.1 KB	2261	23	0	0	50	156	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/be/3b014d2a9ea9a92c0b88d059fad781	-	-
401	71/a1febb	95d167cc-1de8-4e08-93cb-45c06e153304	RUN:HV:BOWTIE2_OTHER	-	RUN:HV:BOWTIE2_OTHER (3)	COMPLETED	0	-	wave.seqera.io/wt/ee9a73f166e2/staphb/bowtie2:2.5.3	16	-	-	32 GB	1	2024-10-17 16:37:46.649	2024-10-17 16:38:06.210	2024-10-17 16:38:46.281	59.6s	36.5s	will-batch-queue	96.2%	4.8%	11.6 GB	12.8 GB	11.6 GB	12.8 GB	12.7 GB	1.9 MB	9849	449	0	0	31203	2644	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/71/a1febb29e06ae29bd20b9f0e69b107	-	-
408	d1/857840	0c14f8c9-4e9e-4854-b6f5-4b28c9ce3a1b	RUN:HV:BOWTIE2_OTHER	-	RUN:HV:BOWTIE2_OTHER (4)	COMPLETED	0	-	wave.seqera.io/wt/ee9a73f166e2/staphb/bowtie2:2.5.3	16	-	-	32 GB	1	2024-10-17 16:37:56.804	2024-10-17 16:38:06.249	2024-10-17 16:38:46.293	49.5s	29.7s	will-batch-queue	106.8%	5.1%	12.3 GB	12.8 GB	12.3 GB	12.8 GB	12.7 GB	5.7 MB	10185	690	0	0	27953	3432	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/d1/857840e175b4c578ef04f86f169a66	-	-
416	00/09c1ae	ed8e760d-7c2b-4754-9c0e-7d2ddd4e80af	RUN:PROFILE:TAXONOMY_RIBO:SUMMARIZE_DEDUP	-	RUN:PROFILE:TAXONOMY_RIBO:SUMMARIZE_DEDUP (12)	COMPLETED	0	-	wave.seqera.io/wt/263903d16055/eclipse/alpine_jdk8:latest	1	-	-	4 GB	1	2024-10-17 16:38:16.697	2024-10-17 16:38:46.325	2024-10-17 16:38:46.346	29.6s	0ms	will-batch-queue	48.1%	0.0%	648 KB	6 MB	648 KB	6 MB	4.5 MB	3.4 MB	6554	8692	0	0	5	1	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/00/09c1aee3c9ee979a44953ffaf975b2	-	-
418	f8/eeb6bc	ebc3e06e-f5fb-43d0-b87a-698e4bd114fb	RUN:PROFILE:TAXONOMY_RIBO:BBMERGE	-	RUN:PROFILE:TAXONOMY_RIBO:BBMERGE (13)	COMPLETED	0	-	wave.seqera.io/wt/8cd9c1606c9d/staphb/bbtools:39.01	1	-	-	4 GB	1	2024-10-17 16:38:26.585	2024-10-17 16:38:46.370	2024-10-17 16:38:46.383	19.8s	867ms	will-batch-queue	1376.9%	0.0%	2.9 MB	3.9 MB	2.9 MB	3.9 MB	46.2 MB	40 MB	4844	1351	0	32 KB	5	0	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/f8/eeb6bc2308efba68d4fbb7d945587d	-	-
421	4c/8df14d	7d20c691-c732-4ce0-8204-2adacb4b8fe1	RUN:PROFILE:TAXONOMY_RIBO:BBMERGE	-	RUN:PROFILE:TAXONOMY_RIBO:BBMERGE (14)	COMPLETED	0	-	wave.seqera.io/wt/8cd9c1606c9d/staphb/bbtools:39.01	1	-	-	4 GB	1	2024-10-17 16:38:26.556	2024-10-17 16:38:46.348	2024-10-17 16:38:46.369	19.8s	2.7s	will-batch-queue	435.6%	0.0%	88 MB	8.4 GB	88 MB	8.6 GB	50.2 MB	44 MB	5107	1476	0	76 KB	359	213	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/4c/8df14d5ee917e1e682f0280552a964	-	-
426	fa/9fddcd	be78aa8a-7cc9-48b3-9232-3e58b21b17b3	RUN:PROFILE:TAXONOMY_RIBO:BBMERGE	-	RUN:PROFILE:TAXONOMY_RIBO:BBMERGE (15)	COMPLETED	0	-	wave.seqera.io/wt/8cd9c1606c9d/staphb/bbtools:39.01	1	-	-	4 GB	1	2024-10-17 16:38:36.512	2024-10-17 16:38:46.384	2024-10-17 16:38:46.409	9.9s	1s	will-batch-queue	748.5%	0.0%	2.9 MB	3.9 MB	2.9 MB	3.9 MB	14 MB	9 MB	3011	368	0	88 KB	5	0	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/fa/9fddcdd5614ce6bef600d056abee59	-	-
255	51/7c4f6b	f1ae81f8-fcf0-4cf4-9ff7-264a1344ad56	RUN:CLEAN:QC:FASTQC	-	RUN:CLEAN:QC:FASTQC (14)	COMPLETED	0	-	wave.seqera.io/wt/c52ad56fe614/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-17 16:33:16.571	2024-10-17 16:34:26.367	2024-10-17 16:38:56.180	5m 40s	4m 24s	will-batch-queue	202.8%	0.2%	554.1 MB	4.1 GB	554.1 MB	11.9 GB	3.3 GB	3.5 MB	6984908	12942	0	3.9 MB	10	17	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/51/7c4f6b4e63de17d52811375bf455ae	-	-
